task_name,index,result,model_name
translation/techsci,1,"It can be referred to as a regional cooperation organization that enhances mutual understanding between the Asian and European regions through comprehensive exchange and cooperation among localities, rather than representing the interests of the government or specific actors.",gpt-3.5-turbo
translation/techsci,2,"Translation: It is precisely because the colony can control not only the time and daily life but also the mind, that colonization management finds great utility as the most fundamental device.",gpt-3.5-turbo
translation/techsci,3,"To indicate that the sub-DPB parameters of multiple sub-layers can also be signaled, the video encoder (20) can set a flag to a second value.",gpt-3.5-turbo
translation/techsci,4,The small bookstore helps support small publishing houses to publish new and distinctive books.,gpt-3.5-turbo
translation/techsci,5,"The control unit (110) can expand the preview images (240, 242, 244) in response to dragging or hovering (232) on the objects corresponding to the preview thumbnail images.",gpt-3.5-turbo
translation/techsci,6,"Please translate the following sentence into English: ""At the time of the establishment of the Korean Workers' Party, the position of Party Secretary, which oversees all aspects of the party's affairs, was newly created, and AAA1 from the Koryo-in was elected as the First Secretary, AAA2 from the Nampo Democratic Party was elected as the Second Secretary, and AAA3 from the Nampo Democratic Party was elected as the Third Secretary.""",gpt-3.5-turbo
translation/techsci,7,"With rapid and simultaneous changes occurring throughout society, the emancipation, or liberation, of all political and social forces has been triggered, leading to mass political participation.",gpt-3.5-turbo
translation/techsci,8,"This conflict can be expected to intensify in the future due to the structural constraints that make it more difficult to optimize power composition for greenhouse gas reduction, following the current government's declaration of nuclear phase-out.",gpt-3.5-turbo
translation/techsci,9,Egyptian police dispersed the protesters by firing tear gas and arrested 23 of the participants.,gpt-3.5-turbo
translation/techsci,10,"According to BBB Internet Pan, it has been reported on the 28th that the US Food and Drug Administration (FDA) ignored warnings from government experts about the risks of computerized tomography (CT) used for pancreatic cancer screening.",gpt-3.5-turbo
translation/techsci,11,"Translate the following sentence into English: ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다."" Also, ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.

""We are constantly monitoring the situation and analyzing the data."" WHO has announced that they will not hesitate to label COVID-19 as a pandemic if the evidence supports it.",gpt-3.5-turbo
translation/techsci,12,The items in the function mode list (340) can be a list to guide the entry into the function mode that can be performed on a mobile device related to the home screen (310).,gpt-3.5-turbo
translation/techsci,13,"Please translate the following sentence into English: 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.

This includes information about codecs supported by the terminal (920) as well as information about capabilities.",gpt-3.5-turbo
translation/techsci,14,"In some implement forms, the depth or height of the hover motion from the rear of a mobile device (100) can serve as a factor for zoom in-zoom out.",gpt-3.5-turbo
