task_name,index,model_name,score
nli,1,gpt-3.5-turbo,0
nli,2,gpt-3.5-turbo,0
nli,3,gpt-3.5-turbo,1
nli,4,gpt-3.5-turbo,1
nli,5,gpt-3.5-turbo,1
nli,6,gpt-3.5-turbo,0
nli,7,gpt-3.5-turbo,0
nli,8,gpt-3.5-turbo,0
nli,9,gpt-3.5-turbo,0
nli,10,gpt-3.5-turbo,1
nli,11,gpt-3.5-turbo,1
nli,12,gpt-3.5-turbo,1
nli,13,gpt-3.5-turbo,1
nli,14,gpt-3.5-turbo,0
nli,15,gpt-3.5-turbo,1
nli,16,gpt-3.5-turbo,1
nli,17,gpt-3.5-turbo,1
nli,18,gpt-3.5-turbo,1
nli,19,gpt-3.5-turbo,1
nli,20,gpt-3.5-turbo,0
nli,21,gpt-3.5-turbo,0
nli,22,gpt-3.5-turbo,1
nli,23,gpt-3.5-turbo,0
nli,24,gpt-3.5-turbo,1
nli,25,gpt-3.5-turbo,0
nli,26,gpt-3.5-turbo,1
nli,27,gpt-3.5-turbo,1
nli,28,gpt-3.5-turbo,1
nli,29,gpt-3.5-turbo,0
nli,30,gpt-3.5-turbo,1
nli,31,gpt-3.5-turbo,0
nli,32,gpt-3.5-turbo,0
nli,33,gpt-3.5-turbo,0
nli,34,gpt-3.5-turbo,1
nli,35,gpt-3.5-turbo,1
nli,36,gpt-3.5-turbo,1
nli,37,gpt-3.5-turbo,1
nli,38,gpt-3.5-turbo,1
nli,39,gpt-3.5-turbo,1
nli,40,gpt-3.5-turbo,1
nli,41,gpt-3.5-turbo,0
nli,42,gpt-3.5-turbo,1
nli,43,gpt-3.5-turbo,0
nli,44,gpt-3.5-turbo,1
nli,45,gpt-3.5-turbo,0
nli,46,gpt-3.5-turbo,1
nli,47,gpt-3.5-turbo,0
nli,48,gpt-3.5-turbo,0
nli,49,gpt-3.5-turbo,0
nli,50,gpt-3.5-turbo,1
nli,51,gpt-3.5-turbo,0
nli,52,gpt-3.5-turbo,0
nli,53,gpt-3.5-turbo,1
nli,54,gpt-3.5-turbo,1
nli,55,gpt-3.5-turbo,0
nli,56,gpt-3.5-turbo,1
nli,57,gpt-3.5-turbo,0
nli,58,gpt-3.5-turbo,1
nli,59,gpt-3.5-turbo,1
nli,60,gpt-3.5-turbo,0
nli,61,gpt-3.5-turbo,0
nli,62,gpt-3.5-turbo,1
nli,63,gpt-3.5-turbo,0
nli,64,gpt-3.5-turbo,1
nli,65,gpt-3.5-turbo,0
nli,66,gpt-3.5-turbo,1
nli,67,gpt-3.5-turbo,1
nli,68,gpt-3.5-turbo,0
nli,69,gpt-3.5-turbo,0
nli,70,gpt-3.5-turbo,1
nli,71,gpt-3.5-turbo,0
nli,72,gpt-3.5-turbo,0
nli,73,gpt-3.5-turbo,0
nli,74,gpt-3.5-turbo,0
nli,75,gpt-3.5-turbo,1
nli,76,gpt-3.5-turbo,1
nli,77,gpt-3.5-turbo,0
nli,78,gpt-3.5-turbo,0
nli,79,gpt-3.5-turbo,1
nli,80,gpt-3.5-turbo,1
nli,81,gpt-3.5-turbo,1
nli,82,gpt-3.5-turbo,1
nli,83,gpt-3.5-turbo,1
nli,84,gpt-3.5-turbo,0
nli,85,gpt-3.5-turbo,1
nli,86,gpt-3.5-turbo,1
nli,87,gpt-3.5-turbo,0
nli,88,gpt-3.5-turbo,1
nli,89,gpt-3.5-turbo,1
nli,90,gpt-3.5-turbo,1
nli,91,gpt-3.5-turbo,1
nli,92,gpt-3.5-turbo,1
nli,93,gpt-3.5-turbo,0
nli,94,gpt-3.5-turbo,0
nli,95,gpt-3.5-turbo,1
nli,96,gpt-3.5-turbo,1
nli,97,gpt-3.5-turbo,1
nli,98,gpt-3.5-turbo,1
nli,99,gpt-3.5-turbo,1
nli,100,gpt-3.5-turbo,0
nli,101,gpt-3.5-turbo,0
nli,102,gpt-3.5-turbo,0
nli,103,gpt-3.5-turbo,0
nli,104,gpt-3.5-turbo,0
nli,105,gpt-3.5-turbo,0
nli,106,gpt-3.5-turbo,1
nli,107,gpt-3.5-turbo,1
nli,108,gpt-3.5-turbo,0
nli,109,gpt-3.5-turbo,1
nli,110,gpt-3.5-turbo,0
nli,111,gpt-3.5-turbo,1
nli,112,gpt-3.5-turbo,0
nli,113,gpt-3.5-turbo,0
nli,114,gpt-3.5-turbo,1
nli,115,gpt-3.5-turbo,1
nli,116,gpt-3.5-turbo,0
nli,117,gpt-3.5-turbo,0
nli,118,gpt-3.5-turbo,1
nli,119,gpt-3.5-turbo,0
nli,120,gpt-3.5-turbo,1
nli,121,gpt-3.5-turbo,1
nli,122,gpt-3.5-turbo,1
nli,123,gpt-3.5-turbo,0
nli,124,gpt-3.5-turbo,0
nli,125,gpt-3.5-turbo,0
nli,126,gpt-3.5-turbo,1
nli,127,gpt-3.5-turbo,0
nli,128,gpt-3.5-turbo,0
nli,129,gpt-3.5-turbo,1
nli,130,gpt-3.5-turbo,1
nli,131,gpt-3.5-turbo,0
nli,132,gpt-3.5-turbo,1
nli,133,gpt-3.5-turbo,0
nli,134,gpt-3.5-turbo,0
nli,135,gpt-3.5-turbo,0
nli,136,gpt-3.5-turbo,1
nli,137,gpt-3.5-turbo,1
nli,138,gpt-3.5-turbo,0
nli,139,gpt-3.5-turbo,1
nli,140,gpt-3.5-turbo,0
nli,141,gpt-3.5-turbo,1
nli,142,gpt-3.5-turbo,1
nli,143,gpt-3.5-turbo,0
nli,144,gpt-3.5-turbo,0
nli,145,gpt-3.5-turbo,1
nli,146,gpt-3.5-turbo,0
nli,147,gpt-3.5-turbo,1
nli,148,gpt-3.5-turbo,1
nli,149,gpt-3.5-turbo,1
nli,150,gpt-3.5-turbo,1
nli,151,gpt-3.5-turbo,0
nli,152,gpt-3.5-turbo,0
nli,153,gpt-3.5-turbo,0
nli,154,gpt-3.5-turbo,1
nli,155,gpt-3.5-turbo,0
nli,156,gpt-3.5-turbo,1
nli,157,gpt-3.5-turbo,0
nli,158,gpt-3.5-turbo,1
nli,159,gpt-3.5-turbo,0
nli,160,gpt-3.5-turbo,1
nli,161,gpt-3.5-turbo,0
nli,162,gpt-3.5-turbo,1
nli,163,gpt-3.5-turbo,0
nli,164,gpt-3.5-turbo,1
nli,165,gpt-3.5-turbo,1
nli,166,gpt-3.5-turbo,1
nli,167,gpt-3.5-turbo,0
nli,168,gpt-3.5-turbo,0
nli,169,gpt-3.5-turbo,1
nli,170,gpt-3.5-turbo,0
nli,171,gpt-3.5-turbo,0
nli,172,gpt-3.5-turbo,1
nli,173,gpt-3.5-turbo,0
nli,174,gpt-3.5-turbo,1
nli,175,gpt-3.5-turbo,1
nli,176,gpt-3.5-turbo,0
nli,177,gpt-3.5-turbo,0
nli,178,gpt-3.5-turbo,0
nli,179,gpt-3.5-turbo,0
nli,180,gpt-3.5-turbo,0
nli,181,gpt-3.5-turbo,0
nli,182,gpt-3.5-turbo,1
nli,183,gpt-3.5-turbo,1
nli,184,gpt-3.5-turbo,1
nli,185,gpt-3.5-turbo,1
nli,186,gpt-3.5-turbo,1
nli,187,gpt-3.5-turbo,1
nli,188,gpt-3.5-turbo,1
nli,189,gpt-3.5-turbo,0
nli,190,gpt-3.5-turbo,1
nli,191,gpt-3.5-turbo,1
nli,192,gpt-3.5-turbo,0
nli,193,gpt-3.5-turbo,1
nli,194,gpt-3.5-turbo,0
nli,195,gpt-3.5-turbo,1
nli,196,gpt-3.5-turbo,1
nli,197,gpt-3.5-turbo,1
nli,198,gpt-3.5-turbo,0
nli,199,gpt-3.5-turbo,0
nli,200,gpt-3.5-turbo,0
nli,201,gpt-3.5-turbo,0
nli,202,gpt-3.5-turbo,0
nli,203,gpt-3.5-turbo,0
nli,204,gpt-3.5-turbo,1
nli,205,gpt-3.5-turbo,1
nli,206,gpt-3.5-turbo,0
nli,207,gpt-3.5-turbo,1
nli,208,gpt-3.5-turbo,1
nli,209,gpt-3.5-turbo,1
nli,210,gpt-3.5-turbo,1
nli,211,gpt-3.5-turbo,1
nli,212,gpt-3.5-turbo,0
nli,213,gpt-3.5-turbo,0
nli,214,gpt-3.5-turbo,0
nli,215,gpt-3.5-turbo,0
nli,216,gpt-3.5-turbo,1
nli,217,gpt-3.5-turbo,1
nli,218,gpt-3.5-turbo,0
nli,219,gpt-3.5-turbo,0
nli,220,gpt-3.5-turbo,1
nli,221,gpt-3.5-turbo,0
nli,222,gpt-3.5-turbo,1
nli,223,gpt-3.5-turbo,0
nli,224,gpt-3.5-turbo,0
nli,225,gpt-3.5-turbo,1
nli,226,gpt-3.5-turbo,1
nli,227,gpt-3.5-turbo,0
nli,228,gpt-3.5-turbo,0
nli,229,gpt-3.5-turbo,0
nli,230,gpt-3.5-turbo,1
nli,231,gpt-3.5-turbo,0
nli,232,gpt-3.5-turbo,0
nli,233,gpt-3.5-turbo,1
nli,234,gpt-3.5-turbo,0
nli,235,gpt-3.5-turbo,1
nli,236,gpt-3.5-turbo,0
nli,237,gpt-3.5-turbo,1
nli,238,gpt-3.5-turbo,0
nli,239,gpt-3.5-turbo,0
nli,240,gpt-3.5-turbo,0
nli,241,gpt-3.5-turbo,0
nli,242,gpt-3.5-turbo,1
nli,243,gpt-3.5-turbo,1
nli,244,gpt-3.5-turbo,1
nli,245,gpt-3.5-turbo,0
nli,246,gpt-3.5-turbo,0
nli,247,gpt-3.5-turbo,1
nli,248,gpt-3.5-turbo,1
nli,249,gpt-3.5-turbo,1
nli,250,gpt-3.5-turbo,0
nli,251,gpt-3.5-turbo,0
nli,252,gpt-3.5-turbo,1
nli,253,gpt-3.5-turbo,1
nli,254,gpt-3.5-turbo,1
nli,255,gpt-3.5-turbo,1
nli,256,gpt-3.5-turbo,0
nli,257,gpt-3.5-turbo,0
nli,258,gpt-3.5-turbo,1
nli,259,gpt-3.5-turbo,0
nli,260,gpt-3.5-turbo,1
nli,261,gpt-3.5-turbo,1
nli,262,gpt-3.5-turbo,0
nli,263,gpt-3.5-turbo,0
nli,264,gpt-3.5-turbo,0
nli,265,gpt-3.5-turbo,1
nli,266,gpt-3.5-turbo,1
nli,267,gpt-3.5-turbo,0
nli,268,gpt-3.5-turbo,1
nli,269,gpt-3.5-turbo,1
nli,270,gpt-3.5-turbo,0
nli,271,gpt-3.5-turbo,1
nli,272,gpt-3.5-turbo,1
nli,273,gpt-3.5-turbo,0
nli,274,gpt-3.5-turbo,1
nli,275,gpt-3.5-turbo,1
nli,276,gpt-3.5-turbo,0
nli,277,gpt-3.5-turbo,0
nli,278,gpt-3.5-turbo,0
nli,279,gpt-3.5-turbo,0
nli,280,gpt-3.5-turbo,0
nli,281,gpt-3.5-turbo,1
nli,282,gpt-3.5-turbo,1
nli,283,gpt-3.5-turbo,1
nli,284,gpt-3.5-turbo,0
