task_name,index,model_name,prompt,output,score
ko_quiz_8,0,llama2_13b,"'펭하'와 가장 관련성이 높은 것은 무엇일까요? '펭수 '이면 1, '뽀로로 '이면 2, '핑구 '이면 3라고 대답하세요.","'펭하'와 가장 관련성이 높은 것은 무엇일까요? '펭수 '이면 1, '뽀로로 '이면 2, '핑구 '이면 3입니다.",0
ko_quiz_8,1,llama2_13b," 다음 중 '이생망'의 쓰임이 자연스러운 상황은? '콘서트 티켓 못 구했어, 역시 이생망인가봐 '이면 1, '어머 너 이 그릇 이생망에서 산거야?! '이면 2, '와 이생망 어디서 샀어? 정말 달고 맛있다! '이면 3라고 대답하세요.",'이면 1' 옵션이 콘서트 티켓을 얻지 못하고 '이생망'이라는 표현을 사용하는 것이 자연스러운 상황입니다. '이면 2' 옵션은 '이생망'이라는 말을 사용하여 음식에 대해 질문하는 것이 적절하지 않을 수 있습니다. '이면 3' 옵션은 누군가가 어디서 음식을 구했는지에 대한 질문에 대한 응답으로 '이생망'이라는 말을 사용하는 것이 적절하지 않을 수 있습니다.,0
ko_quiz_8,2,llama2_13b,"?하면 400만원이야! 에 알맞은 것은?  '영끌 '이면 1, '처돌이 '이면 2, '혼코노 '이면 3라고 대답하세요.","맞습니다! 올바른 대답은 ""영끌""입니다.",0
ko_quiz_8,3,llama2_13b,"'사딸라'와가장 관련이 높은 것은? '김영철 '이면 1, '샘 해밍턴 '이면 2, '나영석 '이면 3라고 대답하세요.",'나영석'이 가장 관련이 높은 선수는 3점입니다.,0
ko_quiz_8,4,llama2_13b,"솔직히 순대국엔 깍두기가 ?이지 에 들어갈 말을 고르시오 '국룰 '이면 1, '흑우 '이면 2, '영끌 '이면 3라고 대답하세요.",국룰 (1),1
ko_quiz_8,5,llama2_13b,"다음 중 '발컨' 한 사람은? '코니 : 미안해, 나 때문에 지게 생겼네 '이면 1, '브라운 : 야 거기서 그걸 그렇게 하면 어떡해! '이면 2, '샐리 : 야 넌 좀 빠져 ! '이면 3라고 대답하세요.","1. ""코니 : 미안해, 나 때문에 지게 생겼네"" 2. ""브라운 : 야 거기서 그걸 그렇게 하면 어떡해!"" 3. ""샐리 : 야 넌 좀 빠져 !""",0
ko_quiz_8,6,llama2_13b,"'혼코노족'과 가장 관련성이 높은 것은 무엇일까요? '노래방 '이면 1, '코딩 '이면 2, '코피 '이면 3라고 대답하세요.",1. 노래방 2. 코딩 3. 코피,0
ko_quiz_8,7,llama2_13b,"'구취'와 가장 관련성이 높은 것은 무엇일까요? '구독자'이면 1, '방청객'이면 2, '손님'이면 3라고 대답하세요.",1. 방청객 2. 구독자 3. 손님,0
ko_quiz_8,8,llama2_13b,"다음 중 '누물보'의 의미는? '누가 물어본 사람? '이면 1, '누구랑 물건 보러 갔어? '이면 2, '누수가 되지 않게 보수를 잘 해야해 '이면 3라고 대답하세요.",1,1
ko_quiz_8,9,llama2_13b,"'소확횡'과 가장 관련성이 높은 것은 무엇일까요? '회사'이면 1, '학교'이면 2, '집'이면 3라고 대답하세요.","'소확횡'과 가장 관련성이 높은 것은 무엇인지 정확히 알 수 없습니다. 더 많은 정보가 없으면 정확한 답변을 제공할 수 없습니다. 그러나 제공된 옵션(회사, 학교, 집)에 따르면, '회사'가 가장 관련성이 높은 것으로 보입니다.",0
