task_name,index,result,model_name
nli,1,1,gpt-3.5-turbo
nli,2,0,gpt-3.5-turbo
nli,3,1,gpt-3.5-turbo
nli,4,0,gpt-3.5-turbo
nli,5,0,gpt-3.5-turbo
nli,6,0,gpt-3.5-turbo
nli,7,2,gpt-3.5-turbo
nli,8,0,gpt-3.5-turbo
nli,9,0,gpt-3.5-turbo
nli,10,0,gpt-3.5-turbo
nli,11,1,gpt-3.5-turbo
nli,12,0,gpt-3.5-turbo
nli,13,2,gpt-3.5-turbo
nli,14,1,gpt-3.5-turbo
nli,15,1,gpt-3.5-turbo
nli,16,0,gpt-3.5-turbo
nli,17,2,gpt-3.5-turbo
nli,18,0,gpt-3.5-turbo
nli,19,1,gpt-3.5-turbo
nli,20,2,gpt-3.5-turbo
nli,21,1,gpt-3.5-turbo
nli,22,0,gpt-3.5-turbo
nli,23,2,gpt-3.5-turbo
nli,24,1,gpt-3.5-turbo
nli,25,1,gpt-3.5-turbo
nli,26,2,gpt-3.5-turbo
nli,27,1,gpt-3.5-turbo
nli,28,0,gpt-3.5-turbo
nli,29,1,gpt-3.5-turbo
nli,30,1,gpt-3.5-turbo
nli,31,2,gpt-3.5-turbo
nli,32,0,gpt-3.5-turbo
nli,33,부합하지 않음 - 2,gpt-3.5-turbo
nli,34,0,gpt-3.5-turbo
nli,35,2,gpt-3.5-turbo
nli,36,1,gpt-3.5-turbo
nli,37,0,gpt-3.5-turbo
nli,38,2,gpt-3.5-turbo
nli,39,1,gpt-3.5-turbo
nli,40,0,gpt-3.5-turbo
nli,41,2,gpt-3.5-turbo
nli,42,0,gpt-3.5-turbo
nli,43,0,gpt-3.5-turbo
nli,44,2,gpt-3.5-turbo
nli,45,0,gpt-3.5-turbo
nli,46,0,gpt-3.5-turbo
nli,47,0,gpt-3.5-turbo
nli,48,2,gpt-3.5-turbo
nli,49,2,gpt-3.5-turbo
nli,50,2,gpt-3.5-turbo
nli,51,2,gpt-3.5-turbo
nli,52,1,gpt-3.5-turbo
nli,53,2,gpt-3.5-turbo
nli,54,0,gpt-3.5-turbo
nli,55,2,gpt-3.5-turbo
nli,56,2,gpt-3.5-turbo
nli,57,2,gpt-3.5-turbo
nli,58,0,gpt-3.5-turbo
nli,59,2,gpt-3.5-turbo
nli,60,2,gpt-3.5-turbo
nli,61,1,gpt-3.5-turbo
nli,62,2,gpt-3.5-turbo
nli,63,0,gpt-3.5-turbo
