task_name,index,model_name,prompt,output,score
number_1,1,gpt-3.5-turbo,"수 1는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",수 1은 한국어로 하나야.,1
number_1,2,gpt-3.5-turbo,"수 2는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",수 2는 한국어로 '둘'이야.,1
number_1,3,gpt-3.5-turbo,"수 3는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",세,0
number_1,4,gpt-3.5-turbo,"수 4는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.","4는 ""넷"" 이라고 읽을 수 있어요.",1
number_1,5,gpt-3.5-turbo,"수 5는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",다섯,1
number_1,6,gpt-3.5-turbo,"수 6는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",6은 한국어로 여섯(yeoseot)이야.,1
number_1,7,gpt-3.5-turbo,"수 7는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",일곱,1
number_1,8,gpt-3.5-turbo,"수 8는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.","8은 ""여덟""이라고 합니다.",1
number_1,9,gpt-3.5-turbo,"수 9는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.","9는 한국어로 ""구""야.",1
number_1,10,gpt-3.5-turbo,"수 10는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십,1
number_1,11,gpt-3.5-turbo,"수 11는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",열한,0
number_1,12,gpt-3.5-turbo,"수 12는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.","12는 한국어로 ""열두""야.",0
number_1,13,gpt-3.5-turbo,"수 13는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",써본 중에서는 '열셋'이 가장 적절한 표현인 것 같아요.,1
number_1,14,gpt-3.5-turbo,"수 14는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.","14는 ""십사""입니다.",1
number_1,15,gpt-3.5-turbo,"수 15는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",열다섯,1
number_1,16,gpt-3.5-turbo,"수 16는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",열여섯,1
number_1,17,gpt-3.5-turbo,"수 17는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십칠,1
number_1,18,gpt-3.5-turbo,"수 18는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",십팔,1
number_1,19,gpt-3.5-turbo,"수 19는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",19는 '열아홉'이라고 말해요.,1
number_1,20,gpt-3.5-turbo,"수 20는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",스물,1
number_1,21,gpt-3.5-turbo,"수 21는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",이     ,0
number_1,22,gpt-3.5-turbo,"수 22는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",스물둘,1
number_1,23,gpt-3.5-turbo,"수 23는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",스물셋,1
number_1,24,gpt-3.5-turbo,"수 24는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.",스물넷,1
