task_name,index,model_name,prompt,output,score
ko_quiz_5,0,gpt-3.5-turbo,"낙화유수(落花流水)의 뜻은? '살림이나 세력이 약해져 아주 보잘것없이 됨 '이면 1, '세월이 흐르는 물과 같이 한번 지나면 되돌아오지 않음 '이면 2, '지나간 일이 흔적 없이 사라져 허무함 '이면 3라고 대답해.",1,1
ko_quiz_5,1,gpt-3.5-turbo,"견마지로(犬馬之勞)의 뜻은? '윗사람에게 충성을 다하는 자신의 노력 '이면 1, '충성스럽고 효성스러운 사람 '이면 2, '각자 자기의 주인에게 충성을 다함 '이면 3라고 대답해.",1,1
ko_quiz_5,2,gpt-3.5-turbo,"관포지교(管鮑之交)의 뜻은? '우정이 아주 돈독한 친구 관계 '이면 1, '사이가 매우 나쁜 두 관계 '이면 2, '얼굴만 겨우 아는 얕은 사이 '이면 3라고 대답해.",1,1
ko_quiz_5,3,gpt-3.5-turbo,"다다익선(多多益善)의 뜻은? '많으면 많을수록 더욱 좋음 '이면 1, '여러 가지로 일도 많고 어려움도 많음 '이면 2, '생각과 느낌이 섬세하고 풍부함 '이면 3라고 대답해.",3,0
ko_quiz_5,4,gpt-3.5-turbo,"매우 많은 것 가운데 극히 적은 수의 뜻을 가진 것은? '구우일모 (九牛一毛) '이면 1, '건곤일척 (乾坤一擲) '이면 2, '가공망상 (架空妄想) '이면 3라고 대답해.",2,0
ko_quiz_5,5,gpt-3.5-turbo,"시종일관(始終一貫)의 뜻은? '일 따위를 처음부터 끝까지 한결같이 함 '이면 1, '모든 사람이 한결같이 다 같음 '이면 2, '한결같이 부지런하고 끈기가 있는 태도로 '이면 3라고 대답해.",3. 한결같이 부지런하고 끈기가 있는 태도로,0
ko_quiz_5,6,gpt-3.5-turbo,"만난 자는 반드시 헤어짐의 뜻을 가진 것은? '회자정리 (會者定離) '이면 1, '청운지지 (靑雲之志) '이면 2, '수주대토 (守株待兔) '이면 3라고 대답해.",1,1
ko_quiz_5,7,gpt-3.5-turbo,신출귀몰(神出鬼沒)의 뜻은?,"신출귀몰(神出鬼沒)은 중국어에서 온 표현으로, 사람이나 일이 어디에서나 나타나거나 사라져서 예상할 수 없는 상태를 의미합니다. 이는 불규칙하고 예측하기 어려운 상황을 말하며, 어디서 왔는지 모르는 것처럼 뜻밖에 나타났다는 의미로 사용됩니다.",0
ko_quiz_5,8,gpt-3.5-turbo,"천재일우(千載一遇)의 뜻은? '좀처럼 만나기 어려운 좋은 기회 '이면 1, '뜻밖의 행운을 만나 어려움을 면함 '이면 2, '천 번을 만나는 진귀한 인연 '이면 3라고 대답해.",2,0
ko_quiz_5,9,gpt-3.5-turbo,"위기일발(危機一髮)의 뜻은? '여유가 조금도 없이 몹시 절박한 순간 '이면 1, '편안한 때일수록 위험이 닥칠 때를 대비해야 함 '이면 2, '궤변을 농하여 국가를 위태로운 지경에 몰아넣음 '이면 3라고 대답해.",1,1
ko_quiz_5,10,gpt-3.5-turbo,"견리사의(見利思義)의 뜻은? '눈앞의 이익을 보면 의리를 먼저 생각함'이면 1, '눈앞의 이익이나 명예에 끌리는 속된 마음 '이면 2, '의리에 어긋나는 일이 아닌지 생각함 '이면 3라고 대답해.",3,0
ko_quiz_5,11,gpt-3.5-turbo,"어이가 없어서 말하려 해도 말할 수 없음의 뜻을 가진 것은? '언어도단 (言語道斷) '이면 1, '언어불공 (言語不恭) '이면 2, '언어상통 (言語相通) '이면 3라고 대답해.",2,0
ko_quiz_5,12,gpt-3.5-turbo,침소봉대(針小棒大)의 뜻은?,"침소봉대(針小棒大)는 중국어 속담으로 ""바늘은 작지만 막대는 크다""라는 뜻입니다. 이 속담은 작고 사소한 디테일이나 사물 하나가 전체를 대표하거나 큰 영향을 미칠 수 있음을 나타내는 표현입니다. 이 속담은 가령 작은 실수나 작은 결함이 전체 작품, 계획 또는 일에 큰 영향을 미칠 수 있다는 것을 강조하기 위해 사용됩니다.",0
ko_quiz_5,13,gpt-3.5-turbo,"일취월장(日就月將)의 뜻은? '나날이 다달이 자라거나 발전함 '이면 1, '나날이 다달이 자꾸자꾸 늘어 감 '이면 2라고 대답해.",2,0
ko_quiz_5,14,gpt-3.5-turbo,견원지간(犬猿之間)의 뜻은?,"견원지간(犬猿之間)은 한자로 구성된 사자성어로, '개와 원숭이 사이'라는 뜻을 가지고 있습니다. 이 표현은 개와 원숭이가 서로 다른 동물이라는 점에서 비유적으로 사용되며, 서로 호의를 갖지 않거나 매우 불화적인 관계를 가리키는 표현입니다. 따라서 두 개체나 집단이 서로 대립하거나 술책을 부추기며 서로 적대적인 관계에 있다는 것을 의미합니다.",0
