task_name,index,model_name,prompt,output,score
number_1,1,ko_vicuna_7b,"수 1는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 언급하지 않은 글자는 앞서 언급된 글자와 다른 글자입니다.,0
number_1,2,ko_vicuna_7b,"수 2는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 삼엽,0
number_1,3,ko_vicuna_7b,"수 3는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 나이,0
number_1,4,ko_vicuna_7b,"수 4는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", R,0
number_1,5,ko_vicuna_7b,"수 5는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,6,ko_vicuna_7b,"수 6는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", D,0
number_1,7,ko_vicuna_7b,"수 7는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", e,0
number_1,8,ko_vicuna_7b,"수 8는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", H,0
number_1,9,ko_vicuna_7b,"수 9는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 야 ``` cat <<EOT > answer.txt a ```,0
number_1,10,ko_vicuna_7b,"수 10는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 한 번,0
number_1,11,ko_vicuna_7b,"수 11는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", N,0
number_1,12,ko_vicuna_7b,"수 12는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", s,0
number_1,13,ko_vicuna_7b,"수 13는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 13,0
number_1,14,ko_vicuna_7b,"수 14는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 엘 14,0
number_1,15,ko_vicuna_7b,"수 15는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", m,0
number_1,16,ko_vicuna_7b,"수 16는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 엔,0
number_1,17,ko_vicuna_7b,"수 17는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 수십,0
number_1,18,ko_vicuna_7b,"수 18는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", e,0
number_1,19,ko_vicuna_7b,"수 19는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", n,0
number_1,20,ko_vicuna_7b,"수 20는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 20,0
number_1,21,ko_vicuna_7b,"수 21는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", s,0
number_1,22,ko_vicuna_7b,"수 22는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", s,0
number_1,23,ko_vicuna_7b,"수 23는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", T,0
number_1,24,ko_vicuna_7b,"수 24는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,25,ko_vicuna_7b,"수 25는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 숫자 25,0
number_1,26,ko_vicuna_7b,"수 26는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 예: 왜,0
number_1,27,ko_vicuna_7b,"수 27는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 수,0
number_1,28,ko_vicuna_7b,"수 28는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", H,0
number_1,29,ko_vicuna_7b,"수 29는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,30,ko_vicuna_7b,"수 30는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해."," 숫자 30은 한국어로 ""발""으로 쓰이는 것이므로 올바른 한국어 응답입니다.",0
number_1,31,ko_vicuna_7b,"수 31는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 올레피,0
number_1,32,ko_vicuna_7b,"수 32는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 32,0
number_1,33,ko_vicuna_7b,"수 33는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 33,0
number_1,34,ko_vicuna_7b,"수 34는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", C,0
number_1,35,ko_vicuna_7b,"수 35는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", W,0
number_1,36,ko_vicuna_7b,"수 36는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 26,0
number_1,37,ko_vicuna_7b,"수 37는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 수,0
number_1,38,ko_vicuna_7b,"수 38는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", R,0
number_1,39,ko_vicuna_7b,"수 39는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", W,0
number_1,40,ko_vicuna_7b,"수 40는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 40,0
number_1,41,ko_vicuna_7b,"수 41는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", P,0
number_1,42,ko_vicuna_7b,"수 42는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", E,0
number_1,43,ko_vicuna_7b,"수 43는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 43,0
number_1,44,ko_vicuna_7b,"수 44는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,45,ko_vicuna_7b,"수 45는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", E,0
number_1,46,ko_vicuna_7b,"수 46는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 46,0
number_1,47,ko_vicuna_7b,"수 47는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 캔버스,0
number_1,48,ko_vicuna_7b,"수 48는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 48,0
number_1,49,ko_vicuna_7b,"수 49는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", h,0
number_1,50,ko_vicuna_7b,"수 50는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해."," 예: ""50""",0
number_1,51,ko_vicuna_7b,"수 51는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", s,0
number_1,52,ko_vicuna_7b,"수 52는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 웬,0
number_1,53,ko_vicuna_7b,"수 53는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 우,0
number_1,54,ko_vicuna_7b,"수 54는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 나다,0
number_1,55,ko_vicuna_7b,"수 55는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 문자 알파,0
number_1,56,ko_vicuna_7b,"수 56는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", 야,0
number_1,57,ko_vicuna_7b,"수 57는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,58,ko_vicuna_7b,"수 58는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", S,0
number_1,59,ko_vicuna_7b,"수 59는 한국어로 얼마야? 다른 글자, 문장은 아무것도 대답하지 말고 정답 글자 하나만 출력해.", h,0
