task_name,index,result,model_name
ko_quiz_2,0," '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 2, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 1이라고 대답해.ㅎㅎㅎ### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변: '거리가 멀고, 차는 없다. '이 맞는 띄어쓰기면 1, '거리가 멀고, 차도 없다. '이 맞는 띄어쓰기면 2라고 대답해.^^### 답변:",polyglot_ko_3.8b
ko_quiz_2,1," '사고 없이 공사가 잘 끝났다. '이 맞는 띄어쓰기면 1, '사고 없이 공사가 잘 끝났다. '이 맞는 띄어쓰기면 2라고 대답해.의심하다의심하다가 맞나요? '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심하다'가 맞나요 '의심하다'가 맞나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의 띄어쓰기는 어떻게 해야 하나요???'의심'과 '의심'의 띄어쓰기는 어떻게 해야 하나요???의심하다의심하다가 맞나요 '의심하다'와 '의심'의",polyglot_ko_3.8b
ko_quiz_2,2, ㅓㅓ 1. '너는 예쁘다'가 맞는 띄어쓰기야. 2. '너는 예쁘다'가 맞는 띄어쓰기야. 3. '너는 예쁘다'가 맞는 띄어쓰기야. 4. '너는 예쁘다'가 맞는 띄어쓰기야. 5. '너는 예쁘다'가 맞는 띄어쓰기야. 6. '너는 예쁘다'가 맞는 띄어쓰기야. 7. '너는 예쁘다'가 맞는 띄어쓰기야. 8. '너는 예쁘다'가 맞는 띄어쓰기야. 9. '너는 예쁘다'가 맞는 띄어쓰기야. 10. '너는 예쁘다'가 맞는 띄어쓰기야.,polyglot_ko_3.8b
ko_quiz_2,3," '밤새 소리 때문에 잠을 못 잤다. '이 맞는 띄어쓰기면 2, '밤새 소리 때문에 잠을 못 잤다. '이 맞는 띄어쓰기면 1이라고 대답해. 공유하기 글 요소",polyglot_ko_3.8b
ko_quiz_2,4," '태희는 예쁜 데다가 똑똑해. '이 맞는 띄어쓰기면 1, '태희는 예쁜데다가 똑똑해. '이 맞는 띄어쓰기면 2라고 대답해.다스### 답변: '태희는 예쁜 데다가 똑똑해. '이 맞는 띄어쓰기면 1, '태희는 예쁜데다가 똑똑해. '이 맞는 띄어쓰기면 2라고 대답해.--->'태희는 예쁜데다가 똑똑해. '이 맞는 띄어쓰기면 1, '태희는 예쁜데다가 똑똑해. '이 맞는 띄어쓰기면 2라고 대답해.",polyglot_ko_3.8b
ko_quiz_2,5," '먹자'를 '먹지'로 띄어 쓰는 것은 맞춤법에 어긋난 띄어쓰기입니다. 1. '먹지'로 띄어 쓰는 것은 맞춤법에 어긋난 띄어쓰기입니다.'먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹지'로 띄어 쓰는 것이 맞습니다.2. '먹지'로 띄어 쓰는 것은 잘못된 띄어쓰기입니다.'먹지'로 띄어 쓰는 것은 잘못된 띄어쓰기입니다.'먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹지'로 띄어 쓰는 것이 맞습니다. '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다'의 활용형 '먹지'를 '먹지'로 띄어 쓰는 것으로, '먹지'로 띄어 쓰는 것은 '먹다",polyglot_ko_3.8b
ko_quiz_2,6," 1. 오랜만에 만난 동창들 2. 오랫만에 만난 동창들 --------------------------------------------------------------------------------------------------------------------------- # 질문: '집'과 '집'의 띄어쓰기는?'집'과 '집'의 띄어쓰기는?'집'과 '집'의 띄어쓰기는 원칙적으로 띄어 씁니다.다만, 조사는 단어로 다루므로 붙여 쓰지만, '집'의 복수 표준어인 '집'은 의존 명사로 다루어 띄어 씁니다.'집'은 한 단어로 다루므로 띄어 쓴다는 점을 기억해 두셔야 합니다.'집'이 한 단어로 다루어 띄어 쓰기 때문에 '집'의 복수 표준어 '집'도 한 단어로 다루어 띄어 써야 합니다.'집'이 의존 명사로 쓰이는 경우도 있습니다.'집'이 쓰일 때는 그 뒤에 조사 '에'가 붙어 '집에'의 뜻으로 쓰입니다.'집에'가 '에'가 붙어 한 단어로 다루어지는 것은 '집'과 '에'가 모두 명사를 수식하는 '집'의 기능을 하기 때문입니다.---------------------------------------------------------------------------------------------------------------------------# 질문: '부엌'과 '부엌'의 띄어쓰기는?'부엌'과 '부엌'의 띄어쓰기는 원칙적으로 띄어 씁니다.다만, '부엌'의 복수 표준어인 '부엌'은 단어로 다루어지므로 붙여 쓰지만, '부엌'의 복수 표준어인 '부엌'은 의존 명사로 다루어 띄어 씁니다.'부엌'이 한 단어로 다루어 띄어 쓰기 때문에 '부엌'의 복수 표준어 '부엌'도 한 단어로 다루어 띄어 써야 합니다.'부엌'이 의존 명사로 쓰이는 경우도 있습니다.'부엌'이 쓰일 때는 그 뒤에 조사 '에'가 붙어 '부엌에'의 뜻으로 쓰입니다.'부엌에'가 '에'가 붙어 한 단어로 다루어지는 것은 '부엌에'와 '부엌에' 모두가 의존 명사로 쓰이기 때문입니다.---------------------------------------------------------------------------------------------------------------------------# 질문: '건너다'와 '건넌'의 띄어쓰기는?'건너다'와 '건넌'의 띄어쓰기는 원칙적으로 띄어 씁니다.다만, '건너다'의 '건넌'은 보조 용언으로 다루어 띄어 쓰지만, '건너다'의 '건넌'은 보조 용언이 아니라 동사에 붙어 시간적으로 '지나다'의 뜻을 더하는 활용형으로 쓰이기 때문에 붙여 쓰고, '건넌'의 '건넌'은 '지나다'의 활용형이므로 띄어 써야 합니다.'건너다'는 '건을 건너다'의 뜻으로, '건넌'은 '건을 건너다'의 뜻으로 활용할 수 있기 때문에 띄어 써야 합니다.'건너다'와 '건넌'이 모두 보조 용언으로 쓰이기 때문에 띄어 쓰는 것은 잘못입니다.'건너다'와 '건넌'은 모두 보조 용언으로 쓰인 경우이므로 띄어 써야 합니다.---------------------------------------------------------------------------------------------------------------------------# 질문: '데'와 '대'의 띄어쓰기는?'데'와 '대'의 띄어쓰기는 원칙적으로 띄어 씁니다.다만, '데'의 경우에는 조사로 쓰일 때는 붙여 쓰고, 명사나 명사구 뒤에서는 띄어 쓰고, '대'의 경우에는 연결 어미로 쓰일 때는 붙여 쓰고, 자립 명사 뒤에서는 띄어 씁니다.---------------------------------------------------------------------------------------------------------------------------# 질문: '-하다'와 '-하다'의 띄어쓰기는?'-하다'는 동사, '-하다'는 형용사에 붙어 뒤에 오는 보조 용언을 수식하는 관형사로 띄어 써야 합니다.그러나 '공무원 시험 성적이 좋다'처럼 '-하다'가 붙은 말 뒤에는 '성적'을 뜻하는 명사가 있기 때문에 붙여 써야 합니다.따라서 '공무원 시험 성적이 좋다'의 띄어쓰기는 '공무원 시험 성적이 좋다'로 해야 합니다.---------------------------------------------------------------------------------------------------------------------------# 질문: '내지'와 '내지'의 띄어쓰기는?'내지'는 '안, 이, 비, 지, 외, 추, 초, 파, 포, 모, 부' 등 컴퓨터에서 작업한 내용을 처리하는 단위로, '내지'는 '밖에",polyglot_ko_3.8b
ko_quiz_2,7," '2'가 맞습니다.'2'는 '둘'의 뜻이고, '녘'은 '지방'의 뜻을 나타내는 접미사입니다.​​### 질문: '날씨가 너무 덥다.'이 맞는 띄어쓰기면 1, '날씨가 너무 덥다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '신부가 너무 아름답다.'이 맞는 띄어쓰기면 1, '신부는 너무 아름답다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '사장님은 명필가이시다.'이 맞는 띄어쓰기면 1, '사장님은 명필가이시다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '나의 아버지는 무척 엄격하다.'이 맞는 띄어쓰기면 1, '나의 아버지는 무척 엄격하다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 벌써 일어났다.'이 맞는 띄어쓰기면 1, '그는 벌써 일어났다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '우리는 그 일을 어떻게 처리해야 할까?'이 맞는 띄어쓰기면 1, '우리는 그 일을 어떻게 처리해야 할까?'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '어떤 일을 처리하기 위하여'이 맞는 띄어쓰기면 1, '어떤 일을 처리하기 위하여'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '생각을 해 보았다.'이 맞는 띄어쓰기면 1, '생각을 해 보았다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 그 사람을 만나 보았다.'이 맞는 띄어쓰기면 1, '그는 그 사람을 만나 보았다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 친절하다.'이 맞는 띄어쓰기면 1, '그는 무척 친절하다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 재미있다.'이 맞는 띄어쓰기면 1, '그는 무척 재미있다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 좋은 사람이다.'이 맞는 띄어쓰기면 1, '그는 무척 좋은 사람이다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 몹시 바쁘다.'이 맞는 띄어쓰기면 1, '그는 몹시 바쁘다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 몹시 가난하다.'이 맞는 띄어쓰기면 1, '그는 몹시 가난하다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 슬프다.'이 맞는 띄어쓰기면 1, '그는 무척 슬프다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 화가 났다.'이 맞는 띄어쓰기면 1, '그는 무척 화가 났다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 슬프다.'이 맞는 띄어쓰기면 1, '그는 무척 슬프다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 빠르다.'이 맞는 띄어쓰기면 1, '그는 무척 빠르다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 예쁘다.'이 맞는 띄어쓰기면 1, '그는 무척 예쁘다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 슬프다.'이 맞는 띄어쓰기면 1, '그는 무척 슬프다.'이 맞는 띄어쓰기면 2라고 대답해.​​### 질문: '그는 무척 가난하다.'이 맞는 띄어",polyglot_ko_3.8b
ko_quiz_2,8," '나의 국어 실력이'이 맞는 띄어쓰기면 1, '나의 국어 실력이'이 맞는 띄어쓰기면 2라고 대답해.간지: 한자어로 '세기', '시대'를 나타내는 말.간첩: 북한의 간첩.간장: '장이'는 고유어, '장아찌'는 한자어.갈매기살: '가로로 난 갈고리 모양의 고기'를 이르는 말.갈비뼈: 소의 갈비를 이루는 뼈.갈퀴: '갈퀴'는 '괭이'와 더불어 한가지로 쓰이는 말.감투: '머리나 물건 위에 쓰는, 또는 그 물건'을 이르는 말. 감질: '몹시 먹고 싶거나 궁한 느낌'을 이르는 말.갑절: '두 배'를 이르는 말.강아지: '개'의 높임말. '바둑이'는 원래 '개'였던 말인데, 강아지로 부르게 된 말.개기: '개기다'의 피동형. '개기다'는 '피동'이 아닌 '피동'의 오타로 보는 것이 적절하다.개다리소반: '개다리가 부러진 작은 소반'을 이르는 말.개털: '개의 털'을 이르는 말.개차반: '개'와 '차반'의 합성어. '개'는 좋지 않은 행동을 속되게 이르는 말이며, '차반'은 '음식의 맛을 도와주는 양념'을 일컫는 말이다.개평: '멍석'과 '개평'의 합성어. '멍석'은 '물건을 말아 놓고 팔 수 있도록 된, 네모난 깔개'를 이르는 말이며, '개평'은 '어떤 몫의 돈을 나중에 도로 갚기로 하고 얼마의 돈을 주는 일'을 이르는 말이다.개평: '멍석'과 '개평'의 합성어. '개평'은 '어떤 몫의 돈을 나중에 도로 갚기로 하고 얼마의 돈을 주는 일'을 이르는 말이다.개피떡: '찹쌀 가루나 쌀가루로 만든 둥글고 납작한 떡'을 이르는 말.개평: '멍석'과 '개평'의 합성어. '멍석'은 '물건을 말아 놓고 팔 수 있도록 된, 네모난 깔개'를 이르는 말이며, '개평'은 '어떤 몫의 돈을 나중에 도로 갚기로 하고 얼마의 돈을 주는 일'을 이르는 말이다.개평: '멍석'과 '개평'의 합성어. '개평'은 '어떤 몫의 돈을 나중에 도로 갚기로 하고 얼마의 돈을 주는 일'을 이르는 말이다.개평: '멍석'과 '개평'의 합성어. '개평'은 '어떤 몫의 돈을 나중에 도로 갚기로 하고 얼마의 돈을 주는 일'을 이르는 말이다.갱기: '음식을 잘못 먹거나 음식에 체하여 까무러친 듯 정신을 잃는 병'을 이르는 말.갱물: '강, 바다'의 옛말.갱자: '여자의 젊은 시절'을 이르는 말.갱주: '남에게 술을 많이 사다 주다'를 이르는 말.갱죽: '밥'의 방언.갱죽: '밥'의 방언.겡이: '벌레'를 이르는 말.겡이: '벌레'를 이르는 말.겡이: '벌레'를 이르는 말.건건이: '반찬'의 방언.건달: '건달바'의 준말로, '하는 일 없이 먹고 놀기만 하는 사람'을 이르는 말.건들장마: 비가 오다가 날이 개어 해가 나고, 해가 났다가 비가 다시 오는 장마.건망증: '잊어버리고 있던 것'을 생각해 내다.건지다: '보기에 아슬아슬하게 위험하다'는 뜻의 말.건지다: '보기에 아슬아슬하게 위험하다'는 뜻의 말.건정: '정성'의 방언.건지다: '보기에 아슬아슬하게 위험하다'는 뜻의 말.건지다: '보기에 아슬아슬하게 위험하다'는 뜻의 말.건들장마: 비가 오다가 날이 개어 해가 나고, 해가 났다가 비가 다시 오는 장마.건들장마: 비가 오다가 날이 개어 해가 나고, 해가 났다가 비",polyglot_ko_3.8b
ko_quiz_2,9," '잘 나가는 사업이다. '이 맞는 띄어쓰기면 1, '잘 나가는 사업이다. '이 맞는 띄어쓰기면 2라고 대답해.이 '이'가 맞는 띄어쓰기가 아닌 것은?정답: '이'가 맞는 띄어쓰기가 아닌 것은?1. 한 번/ 한 번2. 조금/ 조금3. 우리나라/ 우리나라4. 한 시간/ 한 시간정답: '한 번/ 한 번'이 맞는 띄어쓰기가 아닌 것은?1. 우리/ 우리2. 언제/ 언제3. 몇 시간/ 몇 시간4. 그 사람/ 그 사람정답: '몇 시간/ 몇 시간'이 맞는 띄어쓰기가 아닌 것은?1. 우리는 몇 시간 동안 공부했다.2. 그 사람은 몇 년 동안 방에 있다.3. 어제 몇 시간 동안 텔레비전을 봤다.4. 어제 몇 시간 동안 컴퓨터 게임을 했다.정답: '몇 년/ 몇 년'이 맞는 띄어쓰기가 아닌 것은?1. 그 사람은 몇 년 동안 방에 있다.2. 그 사람은 몇 년 동안 방에 있다.3. 그 사람은 몇 년 동안 방에 있다.4. 그 사람은 몇 년 동안 방에 있다.정답: '몇 년/ 몇 년'이 맞는 띄어쓰기가 아닌 것은?1. 그 사람은 몇 년 동안 방에 있다.2. 그 사람은 몇 년 동안 방에 있다.3. 그 사람은 몇 년 동안 방에 있다.4. 그 사람은 몇 년 동안 방에 있다.",polyglot_ko_3.8b
