task_name,index,result,model_name
ko_quiz_1,0,1,gemini-pro
ko_quiz_1,1,2,gemini-pro
ko_quiz_1,2,3,gemini-pro
ko_quiz_1,3,2,gemini-pro
ko_quiz_1,4,2,gemini-pro
ko_quiz_1,5,2,gemini-pro
ko_quiz_1,6,2,gemini-pro
ko_quiz_1,7,2,gemini-pro
ko_quiz_1,8,1,gemini-pro
ko_quiz_1,9,1,gemini-pro
ko_quiz_1,10,2,gemini-pro
ko_quiz_1,11,1,gemini-pro
ko_quiz_1,12,1,gemini-pro
ko_quiz_1,13,2,gemini-pro
ko_quiz_1,14,2,gemini-pro
ko_quiz_1,15,1,gemini-pro
ko_quiz_1,16,1,gemini-pro
ko_quiz_1,17,1,gemini-pro
ko_quiz_1,18,1,gemini-pro
ko_quiz_1,19,2,gemini-pro
ko_quiz_1,20,1,gemini-pro
ko_quiz_1,21,2,gemini-pro
ko_quiz_1,22,1,gemini-pro
ko_quiz_1,23,1,gemini-pro
ko_quiz_1,24,2,gemini-pro
ko_quiz_1,25,1,gemini-pro
ko_quiz_1,26,1,gemini-pro
ko_quiz_1,27,2,gemini-pro
ko_quiz_1,28,2,gemini-pro
ko_quiz_1,29,1,gemini-pro
ko_quiz_1,30,2,gemini-pro
ko_quiz_1,31,1,gemini-pro
ko_quiz_1,32,1,gemini-pro
ko_quiz_1,33,1,gemini-pro
ko_quiz_1,34,1,gemini-pro
ko_quiz_1,35,2,gemini-pro
ko_quiz_1,36,1,gemini-pro
ko_quiz_1,37,1,gemini-pro
ko_quiz_1,38,1,gemini-pro
ko_quiz_1,39,1,gemini-pro
ko_quiz_1,40,2,gemini-pro
ko_quiz_1,41,2,gemini-pro
ko_quiz_1,42,2,gemini-pro
ko_quiz_1,43,1,gemini-pro
ko_quiz_1,44,3,gemini-pro
ko_quiz_1,45,2,gemini-pro
ko_quiz_1,46,1,gemini-pro
ko_quiz_1,47,2,gemini-pro
ko_quiz_1,48,2,gemini-pro
ko_quiz_1,49,2,gemini-pro
ko_quiz_1,50,1,gemini-pro
ko_quiz_1,51,1,gemini-pro
ko_quiz_1,52,2,gemini-pro
ko_quiz_1,53,2,gemini-pro
ko_quiz_1,54,1,gemini-pro
ko_quiz_1,55,2,gemini-pro
ko_quiz_1,56,2,gemini-pro
ko_quiz_1,57,1,gemini-pro
ko_quiz_1,58,2,gemini-pro
ko_quiz_1,59,1,gemini-pro
ko_quiz_1,60,1,gemini-pro
ko_quiz_1,61,1,gemini-pro
ko_quiz_1,62,2,gemini-pro
ko_quiz_1,63,1,gemini-pro
ko_quiz_1,64,1,gemini-pro
ko_quiz_1,65,1,gemini-pro
ko_quiz_1,66,2,gemini-pro
ko_quiz_1,67,1,gemini-pro
ko_quiz_1,68,1,gemini-pro
ko_quiz_1,69,2,gemini-pro
ko_quiz_1,70,1,gemini-pro
ko_quiz_1,71,1,gemini-pro
ko_quiz_1,72,1,gemini-pro
ko_quiz_1,73,1,gemini-pro
ko_quiz_1,74,2,gemini-pro
ko_quiz_1,75,3,gemini-pro
ko_quiz_1,76,2,gemini-pro
ko_quiz_1,77,2,gemini-pro
ko_quiz_1,78,1,gemini-pro
ko_quiz_1,79,2,gemini-pro
ko_quiz_1,80,2,gemini-pro
ko_quiz_1,81,2,gemini-pro
ko_quiz_1,82,2,gemini-pro
ko_quiz_1,83,2,gemini-pro
ko_quiz_1,84,2,gemini-pro
ko_quiz_1,85,1,gemini-pro
ko_quiz_1,86,2,gemini-pro
ko_quiz_1,87,2,gemini-pro
ko_quiz_1,88,1,gemini-pro
ko_quiz_1,89,2,gemini-pro
ko_quiz_1,90,2,gemini-pro
ko_quiz_1,91,1,gemini-pro
ko_quiz_1,92,1,gemini-pro
ko_quiz_1,93,2,gemini-pro
ko_quiz_1,94,2,gemini-pro
ko_quiz_1,95,2,gemini-pro
ko_quiz_1,96,2,gemini-pro
ko_quiz_1,97,2,gemini-pro
ko_quiz_1,98,2,gemini-pro
ko_quiz_1,99,1,gemini-pro
ko_quiz_1,100,1,gemini-pro
ko_quiz_1,101,1,gemini-pro
ko_quiz_1,102,2,gemini-pro
ko_quiz_1,103,2,gemini-pro
ko_quiz_1,104,1,gemini-pro
ko_quiz_1,105,2,gemini-pro
ko_quiz_1,106,2,gemini-pro
ko_quiz_1,107,2,gemini-pro
ko_quiz_1,108,2,gemini-pro
ko_quiz_1,109,2,gemini-pro
ko_quiz_1,110,1,gemini-pro
ko_quiz_1,111,1,gemini-pro
ko_quiz_1,112,1,gemini-pro
ko_quiz_1,113,3,gemini-pro
ko_quiz_1,114,2,gemini-pro
ko_quiz_1,115,1,gemini-pro
ko_quiz_1,116,2,gemini-pro
ko_quiz_1,117,1,gemini-pro
ko_quiz_1,118,1,gemini-pro
ko_quiz_1,119,1,gemini-pro
ko_quiz_1,120,1,gemini-pro
ko_quiz_1,121,1,gemini-pro
ko_quiz_1,122,2,gemini-pro
ko_quiz_1,123,문화란이 바른 말이므로 1이다.,gemini-pro
ko_quiz_1,124,2,gemini-pro
ko_quiz_1,125,2,gemini-pro
ko_quiz_1,126,1,gemini-pro
ko_quiz_1,127,1,gemini-pro
ko_quiz_1,128,1,gemini-pro
ko_quiz_1,129,1,gemini-pro
ko_quiz_1,130,1,gemini-pro
ko_quiz_1,131,2,gemini-pro
ko_quiz_1,132,1,gemini-pro
ko_quiz_1,133,2,gemini-pro
ko_quiz_1,134,2,gemini-pro
ko_quiz_1,135,2,gemini-pro
ko_quiz_1,136,2,gemini-pro
ko_quiz_1,137,2,gemini-pro
ko_quiz_1,138,2,gemini-pro
ko_quiz_1,139,1,gemini-pro
ko_quiz_1,140,2,gemini-pro
ko_quiz_1,141,1,gemini-pro
ko_quiz_1,142,1,gemini-pro
ko_quiz_1,143,1,gemini-pro
ko_quiz_1,144,2,gemini-pro
ko_quiz_1,145,2,gemini-pro
ko_quiz_1,146,1,gemini-pro
ko_quiz_1,147,2,gemini-pro
ko_quiz_1,148,1,gemini-pro
ko_quiz_1,149,2,gemini-pro
ko_quiz_1,150,1,gemini-pro
ko_quiz_1,151,2,gemini-pro
ko_quiz_1,152,1,gemini-pro
ko_quiz_1,153,1,gemini-pro
ko_quiz_1,154,1,gemini-pro
ko_quiz_1,155,2,gemini-pro
ko_quiz_1,156,1,gemini-pro
ko_quiz_1,157,2,gemini-pro
ko_quiz_1,158,1,gemini-pro
ko_quiz_1,159,2,gemini-pro
ko_quiz_1,160,1,gemini-pro
ko_quiz_1,161,1,gemini-pro
ko_quiz_1,162,1,gemini-pro
ko_quiz_1,163,2,gemini-pro
ko_quiz_1,164,1,gemini-pro
ko_quiz_1,165,2,gemini-pro
ko_quiz_1,166,2,gemini-pro
ko_quiz_1,167,1,gemini-pro
ko_quiz_1,168,1,gemini-pro
ko_quiz_1,169,1,gemini-pro
ko_quiz_1,170,2,gemini-pro
ko_quiz_1,171,1,gemini-pro
ko_quiz_1,172,1,gemini-pro
ko_quiz_1,173,1,gemini-pro
ko_quiz_1,174,2,gemini-pro
ko_quiz_1,175,1,gemini-pro
ko_quiz_1,176,2,gemini-pro
ko_quiz_1,177,2,gemini-pro
ko_quiz_1,178,2,gemini-pro
ko_quiz_1,179,1,gemini-pro
ko_quiz_1,180,2,gemini-pro
ko_quiz_1,181,1,gemini-pro
ko_quiz_1,182,1,gemini-pro
ko_quiz_1,183,1,gemini-pro
ko_quiz_1,184,1,gemini-pro
ko_quiz_1,185,1,gemini-pro
ko_quiz_1,186,1,gemini-pro
ko_quiz_1,187,1,gemini-pro
ko_quiz_1,188,2,gemini-pro
ko_quiz_1,189,1,gemini-pro
ko_quiz_1,190,2,gemini-pro
ko_quiz_1,191,1,gemini-pro
ko_quiz_1,192,2,gemini-pro
ko_quiz_1,193,2,gemini-pro
ko_quiz_1,194,1,gemini-pro
ko_quiz_1,195,1,gemini-pro
ko_quiz_1,196,1,gemini-pro
ko_quiz_1,197,1,gemini-pro
ko_quiz_1,198,2,gemini-pro
ko_quiz_1,199,2,gemini-pro
ko_quiz_1,200,1,gemini-pro
ko_quiz_1,201,2,gemini-pro
ko_quiz_1,202,2,gemini-pro
ko_quiz_1,203,1,gemini-pro
ko_quiz_1,204,2,gemini-pro
ko_quiz_1,205,2,gemini-pro
