task_name,index,result,model_name
summarization,2,새해에 아빠가 됩니다.   올해 내가 드디어 아빠가 됩니다.,sample_model
summarization,3,김정은 국무위원장이 지난달 28일부터 31일까지 열린 노동당 중앙위원회 전원,sample_model
summarization,4,신민 의원은 총선 출마 의사를 표시하고 예비후보를 등록했습니다,sample_model
summarization,5,스웨덴에서는 현금을 몸에 지니지 않아도 일상생활에 불편을,sample_model
summarization,6,2020년 도쿄 올림픽 사이클 경기에서 한국 여자 사이클 선수들은 메달을 목표,sample_model
summarization,7,이 글에서는 북한이 핵을 보유하고 제재 해제를 요구하는,sample_model
summarization,8,"이 글은 소비자의 외식 트렌드가 급격하게 변화하는 가운데,",sample_model
summarization,9,안철수 전 국민의당 대표는 2019년 1월 24일 정계 복귀를,sample_model
summarization,10,이 글에서는 한국에서 참치캔의 위상이 어떻게 변화했는지 설명,sample_model
summarization,11,이 전 부총리는 인터뷰에서 2019년에 경제가 반등하지 못한 것,sample_model
summarization,12,문재인 대통령과 추미애 법무장관이 서울의 한 행사장에서 정부 신년 행사에,sample_model
summarization,13,카를로스 곤 전 닛산 회장이 일본에서 가택연금을 피해 레바논,sample_model
summarization,14,타이거 우즈와 로저 페더러는 2000년대 '골프 황제' 칭,sample_model
summarization,15,"1919년 3월 1일, 한민족은 ""독립선언서""",sample_model
summarization,16,배달의 민족과 요기요를 포함한 음식 서비스 거래액이 1년,sample_model
summarization,17,"이 영화 '2020 원더키디'는 1989년 방영되었으며,",sample_model
summarization,18,21대 총선은 2020년 4월 15일에 실시될 예정이며,sample_model
summarization,19,중국 정부가 새해 초 홍콩 내 중국 최고 책임자를 전격 교체해 홍콩 사태,sample_model
summarization,20,국내 월정액 8690원(부가세 포함)의 '유튜브 프리미엄',sample_model
summarization,21,한국전쟁에 참전해 북한에서 포로로 억류된 아버지 A씨를 대신,sample_model
summarization,22,황의조는 한국 대표팀의 올림픽 최종 예선에 나서게 되었,sample_model
summarization,23,이 글에서는 미국이 솔레이마니 장군을 살해한 이유와 이란,sample_model
summarization,24,이 글에서는 건강한 활동을 유지하기 위한 가이드를 제시합니다,sample_model
summarization,25,조규석과 성치영은 올 상반기 경찰이 ‘중요 지명피,sample_model
summarization,26,CES는 새로운 기술과 제품을 선보이는 세계 최대의 가전 전시회입니다.,sample_model
summarization,27,50대 여성이 의료진의 실수로 자궁에 거즈를 넣은 채,sample_model
summarization,28,안태근 전 검찰국장은 후배 검사를 성추행하고 인사보복을 한,sample_model
summarization,29,"윤성빈(26, 강원도청)이 1분 52초 95로",sample_model
summarization,30,국제 금융 시장이 흔들리자 한국과 같은 신흥국에서 먼저 자금이,sample_model
summarization,31,이 글은 베이비부머(1955~63년생) 맏형 격인,sample_model
summarization,32,현대자동차그룹이 6일 미국 CES 2000에서 개인용 비행체 에어택시,sample_model
summarization,33,"홍콩 명보에 따르면, 지난 5일 중국 본토 여성 한 명이",sample_model
summarization,34,봉준호 감독의 영화 '기생충'이 미국 아카데미상을 향한 캠페인의,sample_model
summarization,35,문재인 대통령은 부동산 투기와의 전쟁을 선언했습니다. 역대급 고강,sample_model
summarization,36,봉준호 감독의 수상 소감을 한국어로 통역한 샤론 최(S,sample_model
summarization,37,"유명 아이돌 가수들이 연달아 극단적인 선택을 하자, 몇몇은 정신",sample_model
summarization,38,이란은 미국의 거셈 솔레이마니 장군에 대한 보복 공격에 대한,sample_model
summarization,39,박용택은 한국에서 가장 많은 별명을 가진 야구 선수입니다.,sample_model
summarization,40,"SK텔레콤은 사명을 ""SK하이퍼커넥터""로 변경할",sample_model
summarization,41,"KT&G는 이란 법인을 2008년에 설립했지만, 이미 지난해",sample_model
summarization,42,"미국은 대북 제재 결의를 이행해야 하며, 정부는 남북 교류협력",sample_model
summarization,43,트럼프 대통령은 이란에 대한 경제 제재와 우크라이나 여객기 추락 사고 원인으로 이란,sample_model
summarization,44,중국인 단체 관광객이 송도 트리플스트리트와 송도현대프리미엄아울렛 일대를 방문,sample_model
summarization,45,그는 매킨토시 개발팀 워크숍에서 해적 로고를 나눠주고,sample_model
summarization,46,A씨와 B씨는 히키코모리를 둔 부모입니다. 히,sample_model
summarization,47,이란이 보잉 737-800 여객기를 실수로 격추하여 176명,sample_model
summarization,48,이 글에서는 만성질환을 관리하기 위한 운동의 중요성에,sample_model
summarization,49,이 국장은 검찰 개혁의 적임자로 인정받으며 대검 간부들에게 자신이,sample_model
summarization,50,검찰총장 인사청문회에서 노무현 대통령은 검찰을 통제하기 위해 검찰총장,sample_model
summarization,51,한국 여자축구 대표팀 수비수 장슬기(26)는 한국을 떠나 스페인,sample_model
