task_name,index,result,model_name
nli,1,"전제: 펀딩이 중단되면 취소되지 않은 후원금까지 모두 반환된다.  가설: 펀딩이 중단되면 2일 이내에 취소되지 않은 후원금까지 모두 반환된다.  질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.  0",llama2_13b
nli,2,"전제: 펀딩이 중단되면 취소되지 않은 후원금까지 모두 반환된다.  가설: 펀딩이 중단되면 모든 후원금이 반환된다.  질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.  0",llama2_13b
nli,3,1,llama2_13b
nli,4,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화 가족을 바라보는 우리의 시선은 이미 완전히 바뀌었습니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.  1",llama2_13b
nli,5,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화 가족은 우리 주변에 많습니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.  1. 전제는 다문화가족을 바라보는 시선이 바뀌어야 한다는 것이고, 가설은 다문화 가족이 우리 주변에 많다는 것입니다. 두 문장은 서로 관계 없는 문장입니다.",llama2_13b
nli,6,"전제: 다문화가족을 바라보는 우리의 시선이 바뀌어야 합니다. 가설: 다문화가족을 바라보는 우리의 시선에 변화가 필요합니다. 질문: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",llama2_13b
nli,7,1,llama2_13b
nli,8,1,llama2_13b
nli,9,1,llama2_13b
nli,10,전제: 짐을 정리하던 중 한 점의 미술 작품을 발견하고 해나는 고등학교 시절 추억에 잠긴다. 가설: 해나는 대학생이다. 질문: 이 가설은 전제에 부합해?  출력: 2,llama2_13b
nli,11,전제: 짐을 정리하던 중 한 점의 미술 작품을 발견하고 해나는 고등학교 시절 추억에 잠긴다. 가설: 해나는 짐을 정리한다.  질문: 이 가설은 전제에 부합해?  출력: 0,llama2_13b
nli,12,1,llama2_13b
nli,13,"전제: 먼저, 반기문 전 유엔 사무총창 대선 출마를 신임 유엔 사무총장이 반대했다는 보도가 대표 사례이다. 가설: 유엔 사무총장은 해마다 선출한다. 질문: 이 가설은 전제에 부합해?  1.",llama2_13b
nli,14,"전제: 먼저, 반기문 전 유엔 사무총창 대선 출마를 신임 유엔 사무총장이 반대했다는 보도가 대표 사례이다.  가설: 지금은 유엔 사무총창이 반기문이 아니다.  질문: 이 가설은 전제에 부합해?  출력: 1",llama2_13b
nli,15,0,llama2_13b
nli,16,전제에 부합하지 않는다.,llama2_13b
nli,17,"전제: 무선전파를 이용, 통신을 지원하는 특성상 한반도 전역 및 해외 파병지역을 포함한 원거리 지역에도 통신망 지원이 가능하게 될 전망이다. 가설: 이 가설은 전제에 부합해? 부합하면 0, 부합하지 않으면 2, 서로 관계 없는 문장이면 1로 숫자 하나만 출력해.",llama2_13b
nli,18,"전제: 무선전파를 이용, 통신을 지원하는 특성상 한반도 전역 및 해외 파병지역을 포함한 원거리 지역에도 통신망 지원이 가능하게 될 전망이다.  가설: 한반도 전역 및 해외 파병지역을 포함한 지구 전역에 통신망 지원이 가능하게 될 전망이다.  질문: 이 가설은 전제에 부합해?  출력: 1",llama2_13b
nli,19,전제: 영화 자체는 별로지만 발킬머의 연기는 제대로다. 가설: 영화 자체도 최고입니다.  0,llama2_13b
nli,20,전제: 영화 자체는 별로지만 발킬머의 연기는 제대로다 가설: 발킬머는 영화에서 주연을 맡았습니다.  출력: 1,llama2_13b
nli,21,1,llama2_13b
