task_name,index,result,model_name
ko_quiz_2,0,'이 맞는 띄어쓰기가 1이다.,llama2_13b
ko_quiz_2,1,"'사고 없이 공사가 잘 끝났다. '이 맞는 띄어쓰기면 1, '사고없이 공사가 잘 끝났다. '이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,2,1,llama2_13b
ko_quiz_2,3,'밤새 소리 때문에 잠을 못 잤다. '이 맞는 띄어쓰기는 2입니다.,llama2_13b
ko_quiz_2,4,"'태희는 예쁜 데다가 똑똑해. '이 맞는 띄어쓰기면 1, '태희는 예쁜데다가 똑똑해. '이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,5,"'언제 한번 밥 먹자'이 맞는 띄어쓰기면 1이고, '언제 한 번 밥 먹자'이 맞는 띄어쓰기면 2입니다.",llama2_13b
ko_quiz_2,6,1,llama2_13b
ko_quiz_2,7,'밤낮없이 집으로 찾아왔다.' 이 맞는 띄어쓰기는 1입니다. '밤낮 없이 집으로 찾아왔다.' 이 맞는 띄어쓰기는 2입니다.,llama2_13b
ko_quiz_2,8,'오늘자 신문을 읽었다.'가 맞는 띄어쓰기이므로 2입니다.,llama2_13b
ko_quiz_2,9,1,llama2_13b
ko_quiz_2,10,"'아서라, 괜히 그러지 마. '이 맞는 띄어쓰기면 1, '아서라, 괜히 그러지마. '이 맞는 띄어쓰기면 2라고 대답합니다.",llama2_13b
ko_quiz_2,11,"'물건값이 소폭 감소했다. '이 맞는 띄어쓰기면 1, '물건 값이 소폭 감소했다. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,12,1,llama2_13b
ko_quiz_2,13,1.,llama2_13b
ko_quiz_2,14,"'강아지 다섯 마리가 뛰노다. '이 맞는 띄어쓰기는 1, '강아지 다섯마리가 뛰노다. '이 맞는 띄어쓰기는 2, '.'이 맞는 띄어쓰기는 3입니다.",llama2_13b
ko_quiz_2,15,1,llama2_13b
ko_quiz_2,16,"일 년 만에 합격했다. 이 맞는 띄어쓰기면 1, 일 년만에 합격했다. 이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,17,"'기름 가격이 다시 오르는 추세다. '이 맞는 띄어쓰기면 1, '기름가격이 다시 오르는 추세다. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,18,"'그럴 줄 알았다 '이 맞는 띄어쓰기면 1, '그럴줄 알았다 '이 맞는 띄어쓰기면 2'라고 대답하세요.",llama2_13b
ko_quiz_2,19,"일주일 만에 다 끝냈다. '이 맞는 띄어쓰기면 1, '일주일만에 다 끝냈다. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,20,1.,llama2_13b
ko_quiz_2,21,맞습니다.,llama2_13b
ko_quiz_2,22,1,llama2_13b
ko_quiz_2,23,"'기타 등등 '이 맞는 띄어쓰기면 1, '기타등등 '이 맞는 띄어쓰기면 2",llama2_13b
ko_quiz_2,24,1,llama2_13b
ko_quiz_2,25,"'월 일 자 신문을 가져왔다. '이 맞는 띄어쓰기면 1, '월 일자 신문을 가져왔다. '이 맞는 띄어쓰기면 2라고 대답하세요.",llama2_13b
ko_quiz_2,26,1,llama2_13b
ko_quiz_2,27,1,llama2_13b
ko_quiz_2,28,1 2,llama2_13b
ko_quiz_2,29,'갈거야'이 맞는 띄어쓰기는 2입니다.,llama2_13b
ko_quiz_2,30,"'며칠째'이 맞는 띄어쓰기면 1, '며칠 째'이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,31,"'너를 영원히 사랑할 거야. '이 맞는 띄어쓰기면 1, '너를 영원히 사랑할거야. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,32,1 2,llama2_13b
ko_quiz_2,33,"'버스가 떠난 지 오래야. '이 맞는 띄어쓰기면 1, '버스가 떠난 지 오래야. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,34,1,llama2_13b
ko_quiz_2,35,1 또는 2,llama2_13b
ko_quiz_2,36,"'쌀 가격이 안정을 되찾았다.'이 맞는 띄어쓰기면 1, '쌀가격이 안정을 되찾았다'이 맞는 띄어쓰기면 2라고 대답합니다.",llama2_13b
ko_quiz_2,37,1,llama2_13b
ko_quiz_2,38,1,llama2_13b
ko_quiz_2,39,1,llama2_13b
ko_quiz_2,40,"'네가 옆에 있다면 좋을텐데. '이 맞는 띄어쓰기면 1, '네가 옆에 있다면 좋을텐데. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,41,"'어찌할바를 몰랐다. '이 맞는 띄어쓰기면 1, '어찌할바를 몰랐다. '이 맞는 띄어쓰기면 2라고 답합니다.",llama2_13b
ko_quiz_2,42,"'물건 가격이 소폭 감소했다.'이 맞는 띄어쓰기면 1이고, '물건 가격이 소폭감소했다.'이 맞는 띄어쓰기면 2입니다.",llama2_13b
ko_quiz_2,43,"'갈 수 있다'이 맞는 띄어쓰기는 1, '갈 수 있다'이 맞는 띄어쓰기는 2, '갈 수 있다'이 맞는 띄어쓰기는 3입니다.",llama2_13b
ko_quiz_2,44,1,llama2_13b
ko_quiz_2,45,"'자연환경 보존'이 맞는 띄어쓰기면 1, '자연 환경 보존'이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,46,1. '네가 살펴보았듯이 별로야.' 2. '네가 살펴보았 듯이 별로야.',llama2_13b
ko_quiz_2,47,'1',llama2_13b
ko_quiz_2,48,1,llama2_13b
ko_quiz_2,49,"1, '지금 또한 중요하다. '이 맞는 띄어쓰기면 2 2, '지금 또한 중요하다. '이 맞는 띄어쓰기면 2",llama2_13b
ko_quiz_2,50,"일은 차질 없이 잘 진행된다. '이 맞는 띄어쓰기면 1, '일은 차질없이 잘 진행된다. '이 맞는 띄어쓰기면 2라고 답하세요.",llama2_13b
ko_quiz_2,51,1,llama2_13b
ko_quiz_2,52,1,llama2_13b
ko_quiz_2,53,1 2,llama2_13b
ko_quiz_2,54,1,llama2_13b
ko_quiz_2,55,"쇠고기 근육 '이 맞는 띄어쓰기면 1, '쇠고기 근육 '이 맞는 띄어쓰기면 2'라고 대답합니다.",llama2_13b
ko_quiz_2,56,"'사흘간 여행은 즐거웠어요. '이 맞는 띄어쓰기면 1, '사흘 간 여행은 즐거웠어요. '이 맞는 띄어쓰기면 2입니다.",llama2_13b
ko_quiz_2,57,1 2,llama2_13b
ko_quiz_2,58,'차 한 대를 판매했다. '이 맞는 띄어쓰기면 2입니다. '차한대를 판매했다. '이 맞는 띄어쓰기면 3입니다.,llama2_13b
ko_quiz_2,59,"'오늘 못한 부분은 다음 날 해! '이 맞는 띄어쓰기면 1, '오늘 못한 부분은 다음날 해! '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,60,1,llama2_13b
ko_quiz_2,61,"'특정 징후 없이 나타난다.'이 맞는 띄어쓰기면 1, ' 특정 징후없이 나타난다.'이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,62,1. 일주일에 책 한 권은 꼭 읽어. 2. 일주일에 책 한 권은 꼭 읽어.,llama2_13b
ko_quiz_2,63,"1, 2, 3",llama2_13b
ko_quiz_2,64,1,llama2_13b
ko_quiz_2,65,1.,llama2_13b
ko_quiz_2,66,'이 경기는 일대일로 마쳤다. '이 경기는 일대일로 마쳤다.,llama2_13b
ko_quiz_2,67,전 좌석 안전벨트,llama2_13b
ko_quiz_2,68,"'첫 월급 '이 맞는 띄어쓰기면 1, '첫월급 '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,69,"'당신과 함께 살고 싶어요.'이 맞는 띄어쓰기면 1, '당신과 함께 살고싶어요.'이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,70,1,llama2_13b
ko_quiz_2,71,1,llama2_13b
ko_quiz_2,72,"'하루내지이틀', '하루내지이틀', '하루내지이틀'이 모두 맞는 띄어쓰기입니다.",llama2_13b
ko_quiz_2,73,1 2,llama2_13b
ko_quiz_2,74,1,llama2_13b
ko_quiz_2,75,1,llama2_13b
ko_quiz_2,76,1,llama2_13b
ko_quiz_2,77,'그는 요리도 참 잘한다.'이 맞는 띄어쓰기는 2입니다.,llama2_13b
ko_quiz_2,78,"'부부간에 금실이 좋다.'이 맞는 띄어쓰기면 1, '부부 간에 금실이 좋다.'이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,79,1,llama2_13b
ko_quiz_2,80,1,llama2_13b
ko_quiz_2,81,1,llama2_13b
ko_quiz_2,82,'자매 간에 우애가 남다르다' (2),llama2_13b
ko_quiz_2,83,1,llama2_13b
ko_quiz_2,84,"'괜찮은 척 '이 맞는 띄어쓰기면 1, '괜찮은척 '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,85,"'저 녀석 버르장머리하고는 '이 맞는 띄어쓰기면 1, '저 녀석 버르장머리 하고는 '이 맞는 띄어쓰기면 2, '저 녀석 버르장 머리 하고는 '이 맞는 띄어쓰기면 3라고 대답해.",llama2_13b
ko_quiz_2,86,1,llama2_13b
ko_quiz_2,87,"'쌀 가격이 안정을 되찾았다. '이 맞는 띄어쓰기면 1, '쌀 가격이 안정을 되찾았다. '이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,88,1 2,llama2_13b
ko_quiz_2,89,"'너 자꾸 이러면 미워할거다. '이 맞는 띄어쓰기면 1, '너 자꾸 이러면 미워할거다. '이 맞는 띄어쓰기면 2.",llama2_13b
ko_quiz_2,90,'1',llama2_13b
ko_quiz_2,91,1,llama2_13b
ko_quiz_2,92,1,llama2_13b
ko_quiz_2,93,"'선물 같은 하루 '이 맞는 띄어쓰기면 1, '선물같은 하루 '이 맞는 띄어쓰기면 2입니다.",llama2_13b
ko_quiz_2,94,2,llama2_13b
ko_quiz_2,95,'요즘 정말 살 맛 난다.'라는 문장은 두 개의 맞는 띄어쓰기가 있습니다.,llama2_13b
ko_quiz_2,96,"'운전중에 문자 하지 마세요. '이 맞는 띄어쓰기면 1, '운전중에 문자 하지 마세요. '이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,97,"'거짓말이 다 들통나 버렸다.'이 맞는 띄어쓰기면 1, '거짓말이 다 들통 나버렸다.'이 맞는 띄어쓰기면 2라고 대답해.",llama2_13b
ko_quiz_2,98,"1, 모인 사람이 몇 천만 명이었습니까?",llama2_13b
