task_name,index,result,model_name
translation/techsci,1, 아시아와 유럽 지역 간의 교류와 협력을 강화하는 지역 협력 단체를 만들어 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 것이다.,ko_vicuna_7b
translation/techsci,2," 식민지 인간의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영에 활용할 수 있는 크고 강력한 까닭이다.",ko_vicuna_7b
translation/techsci,3," 번역된 문장은 다음과 같습니다. 비디오 인코더(20)는 서브-DPB 파라미터의 여러 하위 레이어에 대해 시그널링될 수도 있으며, 이를 표시하기 위해 플래그를 제2 값으로 설정할 수도 있습니다.",ko_vicuna_7b
translation/techsci,4, 중소소점은 중소 출판사를 지원하여 새롭고 특별한 책을 출판하도록 돕습니다.,ko_vicuna_7b
translation/techsci,5," 번역된 문장입니다: 미리보기 이미지를 보면서 미리보기 이미지를 드래그하거나 접어서 액세스할 수 있는 미리보기 이미지 목록을 표시하는 미리보기 이미지 라이브러리에 대한 미리보기 이미지 목록(240, 242, 244)을 전개할 수 있습니다.",ko_vicuna_7b
translation/techsci,6," 조선 로동당 창당 당시 조직 당무 부서는 조선 로동당 창당 당시 조직 당무 부서를 감독했습니다. 조직 당무 부서는 제1비서에 고려인 AAA1, 제2비서에 고려인 AAA2, 제3비서에 고려인 AAA3으로 구성되었습니다.",ko_vicuna_7b
translation/techsci,7," 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방, 즉 대중의 정치참여가 촉발되었습니다.",ko_vicuna_7b
translation/techsci,8, 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 전원 구성이 구조적 제약에 따라 보다 어려워지고 향후 보다 심화될 가능성이 높다는 점에서 발생한 것으로 볼 수 있습니다.,ko_vicuna_7b
translation/techsci,9, 이집트 경찰은 시위대를 해산하고 23명의 참가자를 체포했다.,ko_vicuna_7b
translation/techsci,10, 미국 식품의약국(FDA)은 결장암 검사에 사용되는 컴퓨터 단층촬영(CT) 스캔에 대해 여러 가지 우려를 제기했습니다. 이러한 우려의 예로는 촬영 중 건강 위험에 대한 우려와 결장암 진단에 대한 신뢰성 부족에 대한 우려가 있습니다. 또한 미국 식품의약국(FDA)은 촬영 중 흡연자 및 간 질환 환자의 상태에 대한 부적절한 치료로 이어지는 것에 대한 우려도 제기했습니다. 이 기관은 또한 결장암 진단에 촬영이 최선의 선택이 아닌 경우 의료 서비스 제공자가 촬영을 결정할 때 적절한 기준이 없는 경우가 많다고 지적했습니다. 또한 미국 식품의약국(FDA)은 촬영 중 암이 감지되지 않았을 때 촬영에 의존하여 결장암 진단을 하는 경우의 위험성에 대해서도 우려를 제기했습니다.,ko_vicuna_7b
translation/techsci,11," 질문에 답하기. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.",ko_vicuna_7b
translation/techsci,12, 항목 목록(340)은 홈 화면(310)에 표시되어 휴대 단말기의 기능 모드로의 진입을 안내하는 데 사용할 수 있습니다.,ko_vicuna_7b
