task_name,index,model_name,prompt,output,score
ko_quiz_7,0,kullm12.8b,"깨었다가 다시 든 잠을(를) 뜻하는 우리말은? '그루잠 '이면 1, '노루잠 '이면 2, '꾸벅잠 '이면 3라고 대답해.","세 가지 잠 유형 중 하나에 해당합니다.1. 그루잠: 고양이와 개처럼 옆으로 누운 채로 자는 자세로, 자고 있을 때 몸을 뒤척이거나 움직인다는 뜻입니다.2. 노루잠: 몸을 똑바로 세우고 눈을 감은 채로 자는 자세로, 자고 있을 때 몸을 움직이지 않거나 움직이지 않는다는 뜻입니다.3. 꾸벅잠: 몸을 구부리고 자는 자세로, 자고 있을 때 몸을 움직이지 않는다는 뜻입니다.",0
ko_quiz_7,1,kullm12.8b,"옆으로 쫙 퍼지게 끼얹는 물을(를) 뜻하는 우리말은? '나비물 '이면 1, '살그물 '이면 2, '깃그물 '이면 3라고 대답해.",나비물: 1 살그물: 2 깃그물: 3,0
ko_quiz_7,2,kullm12.8b,"여러모로 알맞은 모양을(를) 뜻하는 우리말은? '두루딱딱이 '이면 1, '두루두루 '이면 2, '두루광이 '이면 3라고 대답해.",1. 두루딱딱이는 완전하고 균형 잡힌 모양을 의미합니다.2. 두루두루는 완전하고 균형 잡힌 모양을 의미합니다.3. 두루광이는 완전하고 균형 잡힌 모양을 의미합니다.,0
ko_quiz_7,3,kullm12.8b,"'사로잠'의 뜻으로 알맞은 것은? '마음을 놓지 못하고 조바심하며 자는 잠 '이면 1, '비좁은 방에서 여럿이 모로 끼어 자는 잠 '이면 2, '자야 할 시간이 아닌 때에 몰래 자는 잠 '이면 3라고 대답해.","정답은 1, ""마음을 놓지 못하고 조바심하며 자는 잠""입니다. '사로잠'은 마음을 놓지 못하고 조바심하며 자는 것을 의미합니다.",1
ko_quiz_7,4,kullm12.8b,"'벙글다'의 뜻으로 알맞은 것은? '어린 꽃봉오리가 꽃을 피우기 위해 망울이 생기다 '이면 1, '열매가 매우 실속 있고 다부지다 '이면 2, '알맹이 속이 부실하고 변변치 아니하다 '이면 3라고 대답해.","3번 문장은 다음과 같이 해석할 수 있습니다: ""그는 매우 성공적이고 단단한 사람이다.""",0
ko_quiz_7,7,kullm12.8b,"국이나 찌개에 넣는 고기붙이을(를) 뜻하는 우리말은? '꾸미 '이면 1, '돝고기 '이면 2, '맷고기 '이면 3라고 대답해.","다음은 육고기를 넣은 국이나 찌개에 넣는 고기붙이를 분류하는 세 가지 방법입니다:1. 꾸미 '고기': 쇠고기, 돼지고기, 닭고기 등 다양한 종류의 육류를 사용할 수 있습니다.2. ""돝고기"": 돼지고기를 지칭합니다.3. ""맷고기"": 닭고기를 지칭합니다.",0
ko_quiz_7,9,kullm12.8b,"'간데족족'의 뜻으로 알맞은 것은? '가는 곳마다 빼지 않고 모두 '이면 1, '고르지 않게 가무스름하다 '이면 2, '여러 가닥으로 찢어진 모양 '이면 3라고 대답해.","이 문장에서 ""가는 곳마다 빼지 않고 모두""라는 표현은 '모두'라는 의미를 전달하기 때문에 이 문장의 정답은 3번 '고르지 않게 가무스름하다'입니다.",0
ko_quiz_7,13,kullm12.8b,"'마수걸이'의 뜻으로 알맞은 것은? '맨 처음으로 물건을 파는 일 '이면 1, '운동 경기에서, 먼저 수비하는 일 '이면 2, '윗사람의 잘못을 간하는 일 '이면 3라고 대답해.",3번입니다.,0
ko_quiz_7,14,kullm12.8b,"'구메구메'의 뜻으로 알맞은 것은? '남모르게 틈틈이 '이면 1, '여러 몫으로 나눈 모개마다 '이면 2, '매우 천천히 걸어서 '이면 3라고 대답해.","구메구메는 ""남모르게 조심스레"" 또는 ""조심스럽게""를 의미하는 일본어입니다. 따라서 정답은 (2)입니다.",0
ko_quiz_7,15,kullm12.8b,"'귀잠'의 뜻으로 알맞은 것은? '아주 깊이 든 잠 '이면 1, '짧은 시간안에 드는 잠 '이면 2, '근심 없이 편하게 자는 잠 '이면 3라고 대답해.","2. ""짧은 시간 동안""은 '귀잠'과 같은 뜻입니다.",0
