task_name,index,result,model_name
ko_quiz_5,0,2,gemini-pro
ko_quiz_5,1,3,gemini-pro
ko_quiz_5,2,1,gemini-pro
ko_quiz_5,3,1,gemini-pro
ko_quiz_5,4,3,gemini-pro
ko_quiz_5,5,1,gemini-pro
ko_quiz_5,6,"신출귀몰(神出鬼沒)은 신과 같은 사람이 나오듯 나타나고 귀신이 사라지듯 사라짐을 이르는 말로, 흔적을 남기지 않고 어디에서 왔는지도, 어디로 사라졌는지도 알 수 없는 모습을 뜻합니다. 흔히 어디에서 나타났는지, 어디로 사라졌는지 알 수 없는 신통력을 가진 신선이나 도인, 또는 종적을 찾을 수 없는 아주 묘한 사람이나 사물에 비유적으로 쓰이기도 합니다.",gemini-pro
ko_quiz_5,7,1,gemini-pro
ko_quiz_5,8,1,gemini-pro
ko_quiz_5,9,2,gemini-pro
ko_quiz_5,10,1,gemini-pro
ko_quiz_5,11,벼룩ほどの 비천한 존재이지만 침처럼 날카로운 힘이 있다는 뜻. 재주는 크지 않으나 변화무쌍하고 능동적이라는 말.,gemini-pro
ko_quiz_5,12,1,gemini-pro
ko_quiz_5,13,"견원지간은 서로 극도로 미워하거나 반감이 있는 관계를 의미하는 말이다.

'견원'은 원숭이와 개를 뜻하는 말로, 서로의 기질과 생김새가 달라서 잘 어울리지 않는다고 하여 두 가지가 서로 맞지 않고 반목하는 것을 비유적으로 이르는 말이다.

'지간'은 사이, 관계를 뜻하는 말로, 서로 반목하거나 반대하는 관계를 이르는 말이다.

따라서 견원지간은 서로 극도로 미워하거나 반감이 있는 관계를 의미한다.",gemini-pro
ko_quiz_5,14,몸을 희생해서 목숨을 다해 의리를 지키는 것,gemini-pro
ko_quiz_5,15,3,gemini-pro
ko_quiz_5,16,2,gemini-pro
ko_quiz_5,17,1,gemini-pro
ko_quiz_5,18,2,gemini-pro
ko_quiz_5,19,1,gemini-pro
ko_quiz_5,20,수수방관(袖手傍觀)은 남이 어려워 하는 것을 보고 구경만 하고 아무런 도움도 주지 않는 것을 말합니다. 흔히 '두고 보기만 한다'는 뜻으로 사용됩니다.,gemini-pro
ko_quiz_5,21,1,gemini-pro
ko_quiz_5,22,"계란의 속에 공작석이나 석회화된 뼈와 같은 딱딱한 물질이 있는 것.
계란 내의 껍질과 같은 얇은 막.",gemini-pro
ko_quiz_5,23,1,gemini-pro
ko_quiz_5,24,1,gemini-pro
ko_quiz_5,25,3,gemini-pro
ko_quiz_5,26,3,gemini-pro
ko_quiz_5,27,동일한 말을 반복해서 하는 말. 즉 같은 의미의 말을 두 번 이상 겹쳐서 쓰는 표현.,gemini-pro
ko_quiz_5,28,1,gemini-pro
ko_quiz_5,29,"쾌도난마(快刀亂麻)는 ""번개처럼 빠른 칼로 난리를 친다""는 뜻이다.",gemini-pro
ko_quiz_5,30,"기사회생(起死回生)의 뜻은 다음과 같습니다.

1. 죽은 사람이 살아나는 것
2. 위급한 환자를 살려내는 것
3. 심각한 병세가 갑자기 호전되는 것
4. 극심한 어려움이나 절대로 불가능한 일에서 극적으로 구해지는 것",gemini-pro
ko_quiz_5,31,자신이 영락하는 불행을 스스로 가져온다는 의미입니다.,gemini-pro
ko_quiz_5,32,혼자서는 어려운 일을 이루지 못함을 비유적으로 이르는 말.,gemini-pro
ko_quiz_5,33,1,gemini-pro
ko_quiz_5,34,1,gemini-pro
ko_quiz_5,35,3,gemini-pro
ko_quiz_5,36,1,gemini-pro
ko_quiz_5,37,**허례허식(虛禮虛飾)**은 실제가 아니면서도 그렇게 속일 정도로 꾸미는 것 또는 겉치레를 말합니다. 보통 사람을 속여 ,gemini-pro
ko_quiz_5,38,"측은지심(惻隱之心)은 다른 사람의 고통이나 불행을 보고 동정하고 도와주고 싶은 마음을 뜻합니다. 측은은 다른 사람의 고통이나 불행을 보고 마음이 아프고 동정하는 것을 의미하고, 지심은 그런 마음이 없어서는 안 된다는 것을 의미합니다. 즉, 측은지심은 다른 사람의 고통이나 불행을 보고 마음이 아프고 동정하며, 그런 마음을 가지고 있어야 한다는 것을 말합니다.

측은지심은 인간이 타고나는 본능적인 감정이며, 도덕성의 기초가 됩니다. 측은지심이 있는 사람은 다른 사람의 고통을 자신의 고통처럼 느끼고, 그들을 도와주고 싶은 마음이 생깁니다. 이러한 마음은 사회적 관계를 형성하고, 협력과 연대를 가능하게 합니다.

측은지심은 인간의 중요한 미덕 중 하나이며, 모든 사람이 가져야 할 것입니다. 측은지심이 있는 사람은 다른 사람을 이해하고 포용할 수 있으며, 더 나은 사회를 만들 수 있습니다.",gemini-pro
ko_quiz_5,39,3,gemini-pro
ko_quiz_5,40,1,gemini-pro
ko_quiz_5,41,3,gemini-pro
ko_quiz_5,42,1,gemini-pro
ko_quiz_5,43,1,gemini-pro
ko_quiz_5,44,1,gemini-pro
ko_quiz_5,45,사자사성,gemini-pro
ko_quiz_5,46,1,gemini-pro
ko_quiz_5,47,1,gemini-pro
ko_quiz_5,48,1,gemini-pro
ko_quiz_5,49,1,gemini-pro
ko_quiz_5,50,3,gemini-pro
ko_quiz_5,51,1,gemini-pro
ko_quiz_5,52,1,gemini-pro
ko_quiz_5,53,무영무적,gemini-pro
ko_quiz_5,54,1,gemini-pro
ko_quiz_5,55,사자의 귀,gemini-pro
ko_quiz_5,56,1,gemini-pro
ko_quiz_5,57,1,gemini-pro
ko_quiz_5,58,1,gemini-pro
