task_name,index,result,model_name
summarization,1,1964년 생애 추적 다큐 프로젝트에 참여한 7살짜리 아이들의 인생을 49년 동안 다룬 영국 방송 다큐멘터리.,gemini-pro
summarization,2,"밤새 내리던 폭우로 인해 밤을 무사히 보낸 것에 안도했지만, 비는 좀처럼 멈추지 않고 수위는 계속 오르고 있었고, 언제 물이 넘칠지 몰라 긴장된 상태가 이어졌다.",gemini-pro
summarization,3,"정부는 전국 102개 시설을 점검하고 방역수칙 위반 시설 10개소에 시정명령을 내렸으며, 마스크 착용 등 방역수칙을 지속 홍보하고 있다.",gemini-pro
summarization,4,패총은 선사시대 사람들이 먹다버린 조개껍데기나 생활쓰레기들이 쌓여 만들어진 것으로 중요한 유물을 많이 출토한다.,gemini-pro
summarization,5,"류현진은 당초 다저스와 계약할 때 연간 170이닝을 던지면 보너스를 받기로 했으며, 올 시즌 200이닝을 투구하면 보너스로만 약 11억원을 받을 수 있고, 현재 그의 추세로 볼 때 가능해 보이는 일이다.",gemini-pro
summarization,6,해양수산부 장관 김영석이 세월호인양추진단장직무대행 이철조와 김성찬 위원의 의견을 경청하며 앞으로 동절기 최대한 기간을 단축하려면 지금 반잠수식 선박과 잭킹바지를 동원하는 방법이 훨씬 우월하다는 의견에 동의하며 향후 이 방법에 대해 자문을 더 구해 확실히 진행할 것을 제안하였다.,gemini-pro
summarization,7,"이브 르테름 전 벨기에 총리의 특별 강연에 이어, 지속가능 에너지 전환 정책의 민주적 수립 절차에 대한 패널 토론이 있었다.",gemini-pro
summarization,8,조 바이든이 대선에서 사실상 승리했지만 도널드 트럼프 대통령이 패배를 인정하지 않으며 법적 다툼이 장기화할 경우 미국 정국에 큰 혼란이 예상된다.,gemini-pro
summarization,9,동계와 봄이 뒤섞인 3월 중부 유럽 발트해를 접하고 있는 폴란드로 두 번의 비행기를 타고 방문했다.,gemini-pro
summarization,10,"한국에서 세 번째로 구축한 4세대 방사광가속기가 6월 8일부터 본격적으로 서비스를 시작하며, 첫 번째 지원과제로 한국-스웨덴 공동연구과제인 물 분자 구조 변화연구가 선정됐습니다.",gemini-pro
summarization,11,"천문연, 이탈리아 전파망원경 성능 개선을 위해 초소형 3채널 수신기 수출 계약 완료",gemini-pro
summarization,12,시라소니는 당대 최고의 주먹을 가졌지만 세월에 따라 조직에서 버티기 어려워 결국 이정재 일당에게 가혹한 린치를 당하게 되었다,gemini-pro
summarization,13,"조남대는 바간에서 선희 씨와 함께 여행 일정을 조율하고, 만달레이로 이동할 버스표를 예약하고, 항공권 예약을 시도했으나 비용이 올라가 결국 예약을 마쳤다.",gemini-pro
summarization,14,과학기술정보통신부는 인공지능에 대한 글로벌 파트너십(GPAI) 협의체에 창립회원국으로 참여하기로 하였다.,gemini-pro
summarization,15,"국회의 마지막 자존심을 지키기 위해 의장의 직권상정 권한을 폐기하고 국회폭력을 엄정하게 대처하며 민생과 서민을 위한 국회를 만들고, 한미FTA, 한EU FTA 등의 비준동의안도 처리하겠습니다.",gemini-pro
summarization,16,"1월 4일 고려대 교우회 신년교례회에서 총장직에서 물러나는 이기수 총장이 “임기 중 하고 싶었던 모든 일을 다 해 내지는 못했으나, 많은 일을 해 낼 수 있었다”고 말했다.",gemini-pro
summarization,17,"케이씨씨 정몽진 회장이 대기업집단 지정을 위해 제출한 자료에서 본인 차명 회사와 친족 회사, 친족 등을 고의로 누락한 행위에 대해 공정거래위원회가 고발 조치를 내렸습니다.",gemini-pro
summarization,18,"카와리즈는 알리의 통치에 반대했고, 결국 알리를 죽이고 우마이야 칼리파조를 세웠다.",gemini-pro
summarization,19,"공신녹권은 개국 공신에게 내려진 증서로, 태조 4년(1395)에 창산군 장관(張寬)에게 내려진 원종공신 녹권이다.",gemini-pro
summarization,20,법무부 장관과 검찰총장 사이의 문제는 오래전부터 있었으며 이번에도 두 분이 잘 협력하지 못해 문제가 발생했다.,gemini-pro
summarization,21,코오롱생명과학이 품목허가를 위해 제출한 gag·pol 유전자 시험과 단백질 어레이 시험 결과는 manipulation된 것입니다.,gemini-pro
summarization,22,"문재인 대통령은 올해 신년사를 통해 부동산 투기와의 전쟁을 선포하며 주택 시장의 안정, 실수요자 보호, 투기 억제를 목표로 한다고 밝혔다.",gemini-pro
summarization,23,농암 선생 정자터에는 농암 이현보 선생의 정자 옛 터를 표시하기 위해 음각한 글자가 새겨진 4개의 바위가 있다.,gemini-pro
summarization,24,"부총리겸기획재정부장관 유일호는 계약갱신청구권과 전월세 상한제가 같이 가지 않으면 효과가 없고, 지금은 조금 지켜봐야 할 때라고 생각한다고 말했다.",gemini-pro
summarization,25,신종 코로나바이러스 감염증의 최전선인 중국 후베이성 우한시 우창병원 원장이 감염으로 사망하였다.,gemini-pro
summarization,26,"안동 김씨 시조 김선평 공의 묘를 지키기 위한 집으로 지은 태장재사는 1750년에 처음 지어졌고, 1793년에 다시 지은 후 1913년과 1960년에 수리하였다.",gemini-pro
summarization,27,문화체육관광부와 여행업계가 봄 여행주간과 가을 여행주간을 운영하여 지역을 홍보하는 프로그램을 개최한다.,gemini-pro
summarization,28,"행정안전부, 방송통신위원회, 금융위원회는 4월 29일 데이터 3법 시행령 개정안에 대한 토론회를 열어 전문가 및 국민의 의견을 수렴할 예정이다.",gemini-pro
summarization,29,"화해의 땅 비무장지대(DMZ)에는 총 4,873종의 다양한 생물종이 서식하고 있으며, 그 중 멸종위기종은 91종으로 조사됐습니다.",gemini-pro
summarization,30,강원도지사 최문순이 언론인들을 평창평화포럼에 초청하며 DMZ 투어코스와 스키를 즐길 수 있는 기회를 알렸다.,gemini-pro
summarization,31,"파리바게트가 도급계약의 당사자가 아니더라도 실질적으로 지휘·명령을 내린 경우에는 불법파견이 성립 가능하며, 이번 감독 결과로 인해 프랜차이즈 산업이 붕괴될 것이라는 우려는 지나친 것입니다.",gemini-pro
summarization,32,"국방부장관 한민구는 미국과의 안보 업무 회담 후, 미국의 핵전력 운영 계획에 대한 소식이 언론에 오해가 생겼다고 밝혔다.",gemini-pro
summarization,33,"일본인 구로다가 임진왜란 당시 조선, 명나라 연합군과 싸우기 위해 부산 기장에 쌓은 성이다.",gemini-pro
